Ecosystem Name,Type,Count
temperate river ecosystem,aquatic,1
inhabited ecosystems,-,1
biomes,global,1
Guadiana drainage ecosystem,aquatic,1
marsh,aquatic,2
Upper Rhine River system,aquatic,1
tributaries of the upper Vistula River,aquatic,1
Italian freshwater ecosystems,aquatic,1
temperate waterbodies,aquatic,1
European open waters,aquatic,1
Danube ecosystem,aquatic,1
inland water ecosystems,aquatic,3
urban aquatic ecosystem,aquatic,1
Martinique freshwater ecosystems,aquatic,1
Kura River drainage,aquatic,1
Caspian Sea basin,aquatic,1
Black Sea basin,aquatic,1
clear-water ecosystem,aquatic,1
horticultural trade system,terrestrial,1
French hydrosystems,aquatic,1
streams ecosystem,aquatic,1
shallow lake ecosystem,aquatic,4
European freshwater ecosystem,aquatic,1
aquatic macrophyte ecosystem,aquatic,1
urban lake,aquatic,1
fresh and brackish waters,aquatic,1
tidal freshwater wetlands,aquatic,1
natural water sources,aquatic,1
artificial water reservoir,aquatic,1
island ecologies,terrestrial,1
desert,terrestrial,4
kwongan,terrestrial,1
North America,terrestrial,2
woodlands,terrestrial,5
wetland,terrestrial,1
ocean,aquatic,1
southeastern U.S. ecosystems,terrestrial,1
ecological domination by Argentine ants,terrestrial,1
Understory shrub ecosystem,terrestrial,1
interaction web,terrestrial,1
natural areas,-,1
Australian deserts,terrestrial,1
tropical savannas,terrestrial,1
British Countryside,terrestrial,1
managed systems,terrestrial,1
Antarctic shelf ecosystem,marine,1
coastal community,marine,1
Shallow Lakes,aquatic,1
Everglades,aquatic,1
coastal barrier system,terrestrial,1
Atlantic Rainforest,terrestrial,1
Faro lake ecosystem,aquatic,1
ocean,marine,2
tropical grasslands,terrestrial,1
Temperate Forest Ecosystem,terrestrial,1
sparse vegetation,terrestrial,1
Galapagos Islands ecosystem,terrestrial,2
diverse ecosystems,-,1
lentic aquatic environments,aquatic,1
Riverine ecosystem of Missouri River,aquatic,1
lotic food webs,aquatic,1
Wetland,aquatic,4
shallow aquatic ecosystems,aquatic,2
Mediterranean waters,marine,1
Ligurian marine ecosystems,marine,1
alpine grassland,terrestrial,1
beech forest,terrestrial,1
tussock grassland,terrestrial,1
New Zealand ecosystems,-,1
Mount Lofty Ranges ecosystem,terrestrial,1
River Rhine ecosystem,aquatic,1
native biodiversity,terrestrial,2
environment,-,1
Lake Mead ecosystem,aquatic,1
inland habitats,terrestrial,1
marine habitats,marine,1
Mediterranean-type ecosystem,terrestrial,1
Mediterranean shrubland,terrestrial,1
Pampas ecosystem,terrestrial,1
South African ecosystems,terrestrial,2
rural,terrestrial,2
offshore coral reefs,aquatic,1
hard coastal defence structures,marine,1
Mediterranean,marine,14
maple-dominant hardwood forest,terrestrial,1
temporary river,aquatic,1
European freshwater,aquatic,1
Marmara Sea and Golden Horn Estuary ecosystem,aquatic,1
catchment systems,aquatic,1
River Severn freshwater ecosystem,aquatic,1
European internal waters,aquatic,1
Lake Garda Ecosystem,aquatic,1
river valleys,terrestrial,1
low-mountainous areas,terrestrial,1
Marine Protected Area,marine,1
shallow-water benthic ecosystem,aquatic,1
Mediterranean Ecosystem,marine,3
Central Mediterranean Sea,marine,1
Italian flora,terrestrial,1
Adriatic coastal dunes ecosystem,terrestrial,1
ecological restoration,terrestrial,1
mountain regions,terrestrial,1
submediterranean hay-meadows,terrestrial,1
Mediterranean landscape,terrestrial,3
Mediterranean islands ecosystem,terrestrial,1
Soudanienne dry forests,terrestrial,1
Australian marine environment,marine,1
Gangetic river system,aquatic,1
Amazon Region,terrestrial,1
Turkana Basin Freshwater Ecosystem,aquatic,1
water,aquatic,1
Desert ecosystem,terrestrial,1
benthic ecosystem,marine,1
coastal food web,aquatic,1
Caribbean seagrass ecosystem,aquatic,1
shellfish reef ecosystem,marine,1
Southwestern Atlantic,marine,1
coastal waters ecosystem,marine,1
savannah,terrestrial,4
savannah ecological zone,terrestrial,1
Novel ecosystems,-,1
Atlantic rainforest,terrestrial,1
Andean grassland,terrestrial,1
coastal ecosystems in Mexico,terrestrial,1
Guam's ecosystems,terrestrial,1
tidal Potomac River ecosystem,aquatic,1
inland lake ecosystem,aquatic,1
Temporary river ecosystem,aquatic,1
montane grassland ecosystem,terrestrial,1
marine natural products,marine,1
Aquatic ecosystem,aquatic,5
Turkish freshwater ecosystems,aquatic,1
terrestrial biotas,terrestrial,1
bacterial communities,aquatic,2
savannah ecosystem,terrestrial,2
boreal lake ecosystems,aquatic,1
terrestrial ecosystems in Europe,terrestrial,1
river networks,aquatic,1
Reef ecosystems,marine,1
heathlands,terrestrial,1
tropical agro-ecosystems,terrestrial,1
various ecosystems in Europe,terrestrial,1
global ecosystems,multiple (terrestrial and possibly marine),1
vernal pool systems,terrestrial,1
North American ecosystem,terrestrial,3
Gulf Coast Ecosystem,terrestrial,1
watershed,terrestrial/aquatic,1
pollination networks,terrestrial,1
indigenous ecosystems on islands,terrestrial,1
marsh,terrestrial,1
rhizosphere,terrestrial,1
legume–rhizobium interaction network,terrestrial,1
Restinga vegetation,terrestrial,1
commercial forestry plantations,terrestrial,1
fungal symbiotic network,terrestrial,1
oceanic high-mountain ecosystem,terrestrial,1
Mediterranean-type woodlands,terrestrial,1
temperate forage ecosystem,terrestrial,1
riparian systems,aquatic,1
biodiversity and ecosystem functioning,terrestrial,1
sub-tropical forests,terrestrial,1
dry woodlands,terrestrial,1
secondary temperate grasslands,terrestrial,1
water frog complex,aquatic,1
cave ecosystem,terrestrial,1
surface ecosystems,terrestrial,1
Rocky reefs,marine,1
Coral reefs,marine,1
coastal plant communities,terrestrial,1
Cherry orchard ecosystem,terrestrial,1
agro-ecological zones,terrestrial,1
arid desert ecosystem,terrestrial,1
kauri forest ecosystem,terrestrial,1
pine plantation ecosystem,terrestrial,1
ash stands,terrestrial,1
"ancient, semi-natural woodland",terrestrial,1
urban parks and gardens,terrestrial,1
forest-steppe ecotone,terrestrial,2
temperate montane forests,terrestrial,1
Pacific marine ecosystem,marine,1
Neotropical,aquatic,1
coastal biome,marine,1
river and estuarine ecosystem,aquatic,1
subtidal ecosystem,marine,1
rocky intertidal shore,marine,1
sweet potato ecosystem,terrestrial,1
Eastern African agricultural ecosystem,terrestrial,1
tropical highlands,terrestrial,1
tropics,terrestrial,1
temperate zone,terrestrial,1
oak forests,terrestrial,4
native ecosystem (France),terrestrial,1
protected areas,terrestrial,3
Mid-Atlantic forests of Eastern North America,terrestrial,1
Mondego Estuary Ecosystem,aquatic,1
Mediterranean lagoon ecosystem,aquatic,1
surface waters,aquatic,1
large marine ecosystem,marine,1
Black Sea food web,marine,1
Baltic Sea Ecosystem,marine,2
invaded European waters,aquatic,1
semi-arid ecosystem,terrestrial,4
sub-Antarctic ecosystems,terrestrial,1
whole landscape,-,1
biodiversity hotspot,terrestrial,1
local populations,terrestrial,1
citrus cultivation ecosystem,terrestrial,1
agrosystem,terrestrial,1
lentic,aquatic,1
island biogeography,terrestrial,1
Nothofagus forest,terrestrial,1
arid landscape,terrestrial,1
lowlands,terrestrial,1
ocean-going ship ecosystems,aquatic,1
bitterling-mussel association,aquatic,1
global biodiversity,-,1
microbial community,aquatic,1
island ecosystem with high endemism,terrestrial,1
regional floras,terrestrial,1
boreal to temperate forest transition,terrestrial,1
Appalachian Trail ecosystem,terrestrial,1
fruit tree orchards,terrestrial,1
sub-Antarctic islands ecosystem,terrestrial,1
not specified,-,4
range expansion ecosystem,-,1
naturalized populations,terrestrial,1
tropical rainforest remnants,terrestrial,1
southern South America,terrestrial,1
mesocosm ecosystems,aquatic,1
pond mesocosms,aquatic,1
biodiverse ecosystem,terrestrial,1
arid corridor,terrestrial,1
coastal corridor,terrestrial,1
sagebrush-steppe,terrestrial,1
sandy grassland,terrestrial,1
hot semi-arid landscape,terrestrial,1
Agricultural ecosystem in Patagonia,terrestrial,1
forest plantation ecosystems,terrestrial,1
plantations,terrestrial,1
invaded island ecosystem,terrestrial,1
lentic ecosystem,aquatic,1
Great Artesian Basin discharge springs,aquatic,1
subtropical grassland,terrestrial,1
Arctic,marine,2
oak woodlands,terrestrial,1
savannas,terrestrial,2
grassy woodlands,terrestrial,3
semi-arid rangelands,terrestrial,1
biodiversity in the EU,terrestrial/aquatic/marine,1
Island Ecosystem,terrestrial,1
South American ecosystem,terrestrial,1
arid mammalian community,terrestrial,1
peat-forming wetland ecosystems,aquatic,1
northern hemisphere landscapes,-,1
southern hemisphere landscapes,-,1
Colombian ecosystems,-,1
wildlife,terrestrial,1
lotic ecosystems,aquatic,4
kelp ecosystem,marine,1
herbaceous communities,terrestrial,2
South-East Asian forests,terrestrial,1
broadleaved woodlands,terrestrial,1
plant–pollinator community,terrestrial,1
novel regions,terrestrial,1
plant-soil ecosystem,terrestrial,1
Hawaiian lowland ecosystem,terrestrial,1
floral ecosystem,terrestrial,1
various habitats,terrestrial,1
urban grassland,terrestrial,1
semi‐arid grasslands,terrestrial,1
tussock grasslands,terrestrial,2
temperate grasslands and savanna ecosystems,terrestrial,1
shallow lake plant communities,aquatic,1
freshwater plant communities,aquatic,1
tropical montane forest–grassland mosaic,terrestrial,1
Dryland Ecosystem,terrestrial,1
seascape,marine,1
co-flowering communities,terrestrial,1
invaded communities,terrestrial,2
African savanna,terrestrial,1
Rocky Mountains ecosystem,terrestrial,1
various ecosystems,terrestrial,2
old-field grassland,terrestrial,1
pan-tropical areas,terrestrial,1
drinking water,aquatic,1
surface water,aquatic,1
disturbed habitats,terrestrial,1
water bodies,aquatic,2
tropical freshwater ecosystems,aquatic,1
Mediterranean cereal crops,terrestrial,1
wet-dry tropics,terrestrial,1
terrestrial ecosystem in Australia,terrestrial,1
Atlantic Forest ecosystem,terrestrial,4
Gnarled Mossy Cloud Forest,terrestrial,1
Pampean grasslands,terrestrial,1
seabird ecosystem,marine,1
grassy woodland,terrestrial,3
Hawkesbury Sandstone-derived soil ecosystem,terrestrial,1
urban-woodland interface,terrestrial,1
Wet Tropics,terrestrial,1
RAMSAR wetland,aquatic,1
coastal swamp woodland,terrestrial,1
alpine region,terrestrial,1
Grassland,terrestrial,2
Shrubland,terrestrial,1
mainland eastern seaboard,terrestrial,1
western/inland regions,terrestrial,1
Chaco Serrano dry woodlands,terrestrial,1
extant native vegetation,terrestrial,1
A. chilensis forests,terrestrial,1
Reservoir,aquatic,1
Pampean ecoregion,terrestrial,1
Rolling Pampa,terrestrial,1
Herbaceous ecosystem,terrestrial,1
catchment ecosystem,terrestrial,1
semi-arid montane ecosystem,terrestrial,1
forested rangeland ecosystem,terrestrial,1
community assembly,terrestrial,1
novel ecosystems,terrestrial,1
floodplain wetland,aquatic,1
European coastal dunes,terrestrial,1
affected habitats,-,1
swamps,aquatic,1
aspen parkland,terrestrial,1
wet grasslands,terrestrial,1
terrestrial environments,terrestrial,1
multiple ecosystem services,-,1
islands ecosystem,terrestrial,1
subterranean ecosystems,terrestrial,1
continental tropical forest,terrestrial,1
Christmas Island ecosystem,terrestrial,1
Bornean forests,terrestrial,1
historic grazing ecosystems,terrestrial,1
Yellowstone National Park Ecosystem,terrestrial,1
Australian National Park Ecosystem,terrestrial,1
coastal strands,terrestrial,1
island ecosystems,terrestrial/aquatic,1
aquatic community,aquatic,1
Nama-Karoo,terrestrial,1
ecotonal areas,terrestrial,1
agricultural landscape mosaics,terrestrial,1
Barrow Island ecosystem,terrestrial,1
riparian wetlands,aquatic,2
benthic fouling systems,aquatic,1
Arctic marine ecosystem,marine,2
vegetation,terrestrial,1
coastal ecosystems of the Atlantic coast of South America,terrestrial,1
plant-hummingbird networks,terrestrial,1
braided river ecosystems,aquatic,1
coccinellid community,terrestrial,1
plant-pollinator community,terrestrial,1
isolated-lake landscape,aquatic,1
Greater Everglades Ecosystem,aquatic/terrestrial,1
European woodlands,terrestrial,2
Antarctic region,terrestrial,1
European distribution edge,terrestrial,1
permanent grasslands,terrestrial,1
biological,-,1
European water bodies,aquatic,1
abandoned fields,terrestrial,1
subarctic coastal ecosystems,marine,1
floodplain lake landscape,aquatic,1
dark coniferous forests,terrestrial,1
open habitats,terrestrial,2
shallow benthic ecosystems,aquatic,1
mediterranean ecosystems,terrestrial,1
brackish water systems,aquatic,1
biodiversity hotspots,terrestrial,2
open-habitat,terrestrial,1
grassy communities,terrestrial,1
Nothofagus forests,terrestrial,1
grassland-dominated landscape,terrestrial,1
naturalized cultivated flora,terrestrial,1
modified and fragmented landscape with non-native pine trees,terrestrial,1
desert stream ecosystem,aquatic,1
subarctic lake ecosystem,aquatic,1
Mountain Watershed Ecosystem,aquatic,1
sublittoral habitat,aquatic,1
montane river system,aquatic,1
off-channel wetland,aquatic,1
subarctic river system,aquatic,1
horticultural ecosystem,terrestrial,2
annual plant system,terrestrial,1
European vegetation assemblages,terrestrial,1
microbial community,aquatic/terrestrial/marine,1
microbial community,terrestrial,1
plant-herbivore interaction ecosystem,terrestrial,1
coastal heathland vegetation,terrestrial,1
Ecosystem restoration project,terrestrial,1
Bowling Green Bay RAMSAR wetland,aquatic,1
Great Barrier Reef catchments,aquatic,1
island plant-pollinator networks,terrestrial,1
Euro-Mediterranean ecosystem,terrestrial,1
rice ecosystems,terrestrial,1
native species and ecosystem functions,terrestrial,1
human-modified habitats,terrestrial,2
European chestnut forests,terrestrial,1
British Scots pine forests,terrestrial,1
Cape Verdean ecosystem,terrestrial,1
herbivorous pest ecosystem,-,1
coastal river ecosystems,aquatic,1
watersheds,aquatic,4
estuarine environments,aquatic,2
temporary freshwater pond,aquatic,1
freshwater system,aquatic,2
aquatic communities,aquatic,4
French river ecosystems,aquatic,1
freshwater lakes,aquatic,4
ricefields,aquatic,1
stream and wetland ecosystems,aquatic,1
riparian zones,aquatic/terrestrial,1
upland stream ecosystem,aquatic,1
shallow lakes,aquatic,1
Marine Environment,marine,2
freshwater marsh,aquatic,1
grass-dominated ecosystems,terrestrial,1
coral reef ecosystem,aquatic,1
mangrove ecosystem,terrestrial,2
nutrient-poor environments,-,1
high-latitude biomes,-,1
Ice-free terrestrial Antarctica,terrestrial,1
mountain ecosystems,terrestrial,4
local ecosystems,marine,1
blue carbon,marine,1
marine Arctic realm,marine,1
Antarctic ecosystems,marine,1
honey bee colonies,terrestrial,1
Antarctica,terrestrial/marine,1
grassland community,terrestrial,2
tropical coastal ecosystem,terrestrial,1
farmland ecosystem,terrestrial,1
tundra ecosystem,terrestrial,1
high-resource environment,-,1
low-resource environment,-,1
shallow-marine ecosystem,marine,1
freshwater fish assemblages,aquatic,1
invaded site,terrestrial,1
Mediterranean climate areas,terrestrial,1
herbaceous community types,terrestrial,1
Greater Yellowstone ecosystem,terrestrial,1
macroclimatic,terrestrial,1
domestic gardens,terrestrial,1
water-limited ecosystems,terrestrial,1
Amazon forest,terrestrial,1
natural resources in South Africa,terrestrial,1
tropical and subtropical ecosystems,terrestrial,2
valleys ecosystem,terrestrial,1
high altitude Andes ecosystem,terrestrial,1
tree-dominated ecosystem,terrestrial,1
fig wasp community,terrestrial,1
avian ecosystem,terrestrial,1
natural population,terrestrial,1
supercolonies,terrestrial,1
Argentinean ecosystems,terrestrial,1
Lake Fuxian ecosystem,aquatic,1
temperate,aquatic,2
Lake Naivasha ecosystem,aquatic,1
temperate freshwater ecosystems,aquatic,2
brackish-water ecosystems,aquatic,1
inland aquaculture,aquatic,1
Madeira ecosystem,terrestrial,1
Hawaiian ecosystem,terrestrial,1
eastern hemlock forest,terrestrial,1
European chestnut orchards and native forests,terrestrial,1
Mediterranean river system,aquatic,1
watercourse ecosystem,aquatic,2
watercolumn ecosystem,aquatic,1
calcifuge grasslands,terrestrial,1
communities,-,1
ecosystems undergoing biological invasion,-,1
South Africa's major terrestrial biomes,terrestrial,1
unspecified,terrestrial,1
Island Ecosystems,terrestrial,1
Temperate Ecosystem,terrestrial,1
invaded and invasible ecosystems,-,1
mediterranean biome,terrestrial,1
tropical biome,terrestrial,1
fragmented habitat,terrestrial,1
mixed woodlands,terrestrial,1
conifer forests,terrestrial,2
ombrotrophic bogs,terrestrial,1
floodplain lakes ecosystem,aquatic,1
matrix environments,terrestrial,1
Luquillo forest,terrestrial,1
rocky outcrop ecosystems,terrestrial,1
floodplain grassland,terrestrial,1
sub-Antarctic island ecosystem,terrestrial,1
marine urban ecosystems,marine,1
invader-dominated ecosystems,-,1
Canary Archipelago Ecosystem,terrestrial,1
Australian mesic biome,terrestrial,1
tropical and subtropical rain forests,terrestrial,1
inundation communities along rivers,aquatic,1
high-Andean ecosystems,terrestrial,1
European geographic regions,terrestrial,1
lowland heathlands,terrestrial,1
biome,terrestrial,1
urban flora ecosystem,terrestrial,1
our ecosystems,-,1
Hawaiian Islands,terrestrial,1
terrestrial system,terrestrial,1
old-world tropics,terrestrial,1
wet tropics,terrestrial,2
pine plantations,terrestrial,2
altitudinal gradient ecosystem,terrestrial,1
plant community ecosystem,terrestrial,2
Amazon Basin,aquatic,2
mixed conifer forest,terrestrial,1
Agricultural,terrestrial,1
mixed-species foliage plantations,terrestrial,1
subtropical waters of Brazil,marine,1
tropical areas,terrestrial,1
Australia's natural and agricultural environments,terrestrial,1
coastal salt marsh,aquatic,1
wetlands ecosystem,aquatic,3
modified landscape,terrestrial,1
dry rainforest,terrestrial,1
savanna woodland,terrestrial,2
Macquarie Island Vegetation,terrestrial,1
range of ecosystems,-,1
montane shrubland,terrestrial,1
tropical floodplains,terrestrial,1
urban areas of Tasmania,terrestrial,1
conifer forest,terrestrial,1
coastal salt marshes,aquatic,1
rainforest communities,terrestrial,1
remnant natural vegetation,terrestrial,1
Mediterranean-type woodland,terrestrial,1
subtropical ecosystem,terrestrial,1
Patagonian forest-steppe ecotone,terrestrial,1
agri-environmental setting,terrestrial,1
biotic community,-,1
disturbed ecosystems,-,1
habitat types,-,1
Azorean ecosystem,-,1
marine ecosystem,aquatic,2
ecosystems with biotic and abiotic stress pressures,-,1
European terrestrial ecosystems,terrestrial,1
elevational gradient ecosystem,terrestrial,1
native biotic communities,terrestrial,1
Australian tropics and sub-tropics,terrestrial,1
impoundment,aquatic,2
subarctic forest,terrestrial,1
ecogeographical environments,terrestrial,1
maritime pine ecosystem,terrestrial,1
natural and pastoral ecosystems,terrestrial,1
South African biomes,terrestrial,1
Cape Floristic Region ecosystem,terrestrial,1
urban habitat fragments,terrestrial,1
Sagebrush biome,terrestrial,1
Mediterranean bioregion,terrestrial,1
Continental bioregion,terrestrial,1
Atlantic bioregion,terrestrial,1
Boreal bioregion,terrestrial,1
European plant ecosystems,terrestrial,1
urban land cover,terrestrial,1
Disturbed habitats,terrestrial,1
urban angiosperm flora,terrestrial,1
Mediterranean coastal sand dunes,terrestrial,1
Mountain lakes ecosystem,aquatic,1
Agroforestry,terrestrial,1
South African ecosystems,-,1
landscape ecosystem,terrestrial,2
Ecosystem affected by Australian acacias,-,1
North Atlantic marine ecosystem,marine,1
constructed water bodies,aquatic,1
natural waters,aquatic,1
Kakadu National Park ecosystem,terrestrial,1
mediterranean climate systems,terrestrial,1
riparian ecosystem,terrestrial/aquatic,1
terrestrial ecosystems inhabited by bumble bees,terrestrial,1
ombrophilous dense forest,terrestrial,1
restored grassland ecosystem,terrestrial,1
tropical,aquatic,1
supercolonies,-,1
High altitude and high latitude ecosystems,terrestrial,1
alfalfa fields,terrestrial,1
sahelian ecosystem,terrestrial,1
semi-natural environment,terrestrial,1
artificial wetland,aquatic,1
aquatic ecosystem in Lake Huron,aquatic,1
seasonal precipitation ecosystems,terrestrial,1
pathogen-regulated community,terrestrial,1
Japanese lakes ecosystem,aquatic,1
vertebrate food webs,terrestrial,1
Inland dune ecosystem,terrestrial,1
old-fields,terrestrial,1
roadsides,terrestrial,1
continental African ecosystem,terrestrial,1
Amazonian tropical rain forest,terrestrial,1
grazing lands,terrestrial,1
levee neo-ecosystems,terrestrial,1
Selvagem Grande ecosystem,terrestrial,1
Galápagos ecosystem,terrestrial,2
Antarctic marine ecosystems,marine,1
corn crop ecosystem,terrestrial,1
alpine tussock grasslands,terrestrial,1
beach,terrestrial,1
prairie grassland,terrestrial,1
Lake Erhai ecosystem,aquatic,1
Neotropical river basin ecosystem,aquatic,1
ruderal habitats,terrestrial,1
(semi-)natural habitats,terrestrial,2
intertidal,aquatic,2
rain forest ecosystem,terrestrial,1
Atlantic Ocean marine ecosystem,marine,1
inland ecosystems,terrestrial,2
Guillou Island ecosystem,-,1
ecological and agricultural systems,terrestrial,1
littoral fish community,aquatic,1
post‐glacial lakes,aquatic,1
lakes and reservoirs,aquatic,1
stream environment,aquatic,1
Arctic Ocean,marine,1
Continental ecosystems,aquatic,1
aquatic biota,aquatic,1
Marine ecosystem of the North Adriatic Sea,marine,1
temperate regions of South America,terrestrial,1
temperate rocky shores,marine,1
high-Andean landscape,terrestrial,1
urban plant communities,terrestrial,1
temperate grassland ecosystem,terrestrial,2
oak forest,terrestrial,2
Brazilian Cerrado,terrestrial,1
Grassy 'ironbark' woodlands,terrestrial,1
European grasslands,terrestrial,1
temperate grassland communities,terrestrial,1
rocky reef epibenthic communities,aquatic,1
inter-tidal zone,marine,1
subtidal,aquatic,1
marine community where Asterina stellifera lives,marine,1
arable crops,terrestrial,1
circumtropical,terrestrial,1
Mediterranean forests,terrestrial,1
Mediterranean Europe,terrestrial,3
Mauritian island ecosystems,terrestrial,1
feral habitat,terrestrial,1
arid soil,terrestrial,1
Northwest Atlantic,marine,1
Ecological niche,terrestrial,1
mesophotic and deeper reefs,marine,1
soft-sediment mudflats,marine,1
Forest,terrestrial,2
soil biodiversity,terrestrial,1
invaded range,-,1
islands of the Southern Ocean,terrestrial,1
periurban ecosystem,terrestrial,2
natural ecosystem,terrestrial,3
Galápagos archipelago,-,1
moderate continental climate ecosystem,terrestrial,1
global terrestrial ecosystem,terrestrial,2
temperate hardwood forest,terrestrial,1
managed and natural ecosystems,terrestrial,1
communities and ecosystem,-,1
heterogeneous environments,terrestrial,1
nonforest settings,terrestrial,1
intertidal grassland,terrestrial,1
plant-pollinator community,-,1
Global,terrestrial,1
rhizosphere food web,terrestrial,1
phytoplankton community,aquatic,1
riverine networks,aquatic,1
subtropical monsoon ecosystem,terrestrial,1
eutrophic waters,aquatic,1
pollination ecosystem,terrestrial,1
ornamental nurseries,terrestrial,1
wild ecosystems,terrestrial,1
Afromontane cloud forest,terrestrial,1
fragmented forests,terrestrial,1
valley-bottom wetlands,terrestrial,1
vegetation ecosystem,terrestrial,2
limestone quarry ecosystem,terrestrial,1
Great Plains,terrestrial,1
West African pastoral ecosystem,terrestrial,1
natural sites,terrestrial,1
ecotonal area between the steppe and the forest,terrestrial,1
Southern Ocean Islands,terrestrial,1
agricultural production systems,terrestrial,1
microbial communities,terrestrial,1
regional ecosystem,-,1
drift-sand area,terrestrial,1
European temperate forests,terrestrial,1
Andean shrublands,terrestrial,1
temporary wetlands,aquatic,1
reservoirs,aquatic,2
plateau lake ecosystem,aquatic,1
Lake Michigan,aquatic,1
dune,terrestrial,1
coastal bays,aquatic,1
old field,terrestrial,1
old-field communities,terrestrial,1
river-floodplain,aquatic,1
river-floodplain ecosystem,aquatic,1
boreal foothills lakes,aquatic,1
highly invaded ecosystem,marine,1
Yellowstone Lake ecosystem,aquatic,1
macrophyte-dominated ecosystem,aquatic,1
Laurentian Great Lakes ecosystem,aquatic,2
coastal river and estuarine ecosystem,aquatic,1
St. Lawrence River ecosystem,aquatic,1
Canadian woodlands,terrestrial,1
temperate deciduous forests,terrestrial,2
subtropical montane forest,terrestrial,1
island and coastal ecosystem,terrestrial/marine,1
Isle of Man Ecosystem,terrestrial,1
Canadian Shield lake ecosystem,aquatic,1
boreal forest and taiga,terrestrial,1
temperate regions,aquatic,1
high mountain tropical aquatic systems,aquatic,1
tropics and coast areas,aquatic,1
natural environment,aquatic,1
natural range,terrestrial,1
introduced range,terrestrial,1
Afrotropics,terrestrial,1
floodplain ecosystem,terrestrial,1
Oak forests,terrestrial,1
local ecosystem,terrestrial,1
native communities,-,1
world tomato production ecosystem,terrestrial,1
ecological systems,aquatic/terrestrial/marine,1
Guam ecosystem,terrestrial,1
continental ecosystems,-,1
Caspian Sea Ecosystem,aquatic,1
tree fruit orchards,terrestrial,1
temperate xerophytic deciduous forest,terrestrial,1
mudflat,aquatic,1
Old-field ecosystem,terrestrial,1
Wasteland ecosystem,terrestrial,1
meadow-steppes,terrestrial,1
forest-steppe,terrestrial,1
hatchery environment,aquatic,1
natural or semi-natural ecosystems,-,1
lowland rainforest,terrestrial,2
Baluran Savanna,terrestrial,1
natural waters of Chennai,aquatic,1
Estuarine ecosystems,aquatic,1
Brackish water ecosystems,aquatic,1
Saltwater ecosystems,aquatic,1
oceanic islands ecosystem,terrestrial,2
bioclimatic space,terrestrial,1
Cook Inlet Ecosystem,aquatic,1
inland waters ecosystem,aquatic,1
estuarine areas,aquatic,1
Tropical Eastern Pacific,marine,1
rocky shores ecosystem,marine,1
páramo,terrestrial,1
tropical floodplain,aquatic,1
Indian Ocean,marine,2
glacial-interglacial cycles,terrestrial,1
shoreline,aquatic,1
lake system,aquatic,1
seagrass meadows,aquatic,1
hypersaline environment,aquatic,1
tick eradication quarantine area (TEQA),terrestrial,1
climatic habitats of cattle fever ticks,terrestrial,1
biodiversity and ecosystem functions,-,1
benthic ecosystems,marine,1
EU ecosystems,-,1
Yakushima island ecosystem,terrestrial,1
African freshwater ecosystems,aquatic,1
East China Sea,aquatic,1
Iberian Peninsula ecosystem,terrestrial,1
native plant communities,terrestrial,1
tropical Asia,terrestrial,1
California ecosystem,terrestrial,1
river-systems,aquatic,1
humid forests,terrestrial,1
gardens,terrestrial,1
arid zone ecosystem,terrestrial,1
global viticulture,terrestrial,1
urban and rural,terrestrial,1
tropical/subtropical,terrestrial,1
tropical dry forest ecosystem,terrestrial,1
mesic deciduous forest,terrestrial,1
Ngorongoro Conservation Area ecosystem,terrestrial,1
Crater lakes ecosystem,aquatic,1
invaded area ecosystem,-,1
urban forest,terrestrial,4
forestlands of Tennessee,terrestrial,1
shallow eutrophic inshore waters,aquatic,1
Inland waters of the Holarctic region,aquatic,1
Mediterranean Sea,aquatic,2
Basque Estuaries,aquatic,1
algae meadows,marine,1
mangroves,marine,1
seagrass beds,marine,2
semi-natural systems,-,1
invaded landscapes,terrestrial,1
coral reef,aquatic,1
Panama Canal aquatic ecosystem,aquatic,1
soft bottom molluscan assemblages,marine,1
Mediterranean flora,marine,1
Sea of Marmara ecosystem,marine,1
Aegean Sea,marine,4
Sea of Marmara,marine,2
areas subject to strong anthropogenic pressure,terrestrial,1
disturbed landscape,terrestrial,1
river riparian ecosystem,aquatic,1
forested areas,terrestrial,2
Pampa biome ecosystem,terrestrial,1
Fruit plantations,terrestrial,1
Feral Parrot Populations,terrestrial,1
tropical systems,marine,1
tropical marine communities,marine,1
marine ecosystem off Maui,marine,1
montane rain forests,terrestrial,1
nearshore environments,marine,1
Ottoville Lowland Forest,terrestrial,1
lowland rain forest,terrestrial,1
ornamental plant ecosystem,terrestrial,1
native plant ecosystem,terrestrial,1
global environments,global,1
biodiversity ecosystem,terrestrial,1
Reunion Island ecosystem,terrestrial,1
freshwater ecosystem (dam affected),aquatic,1
Local transmission of chikungunya virus (CHIKV),terrestrial,1
Northeastern Turkish Ecosystem,terrestrial,1
Indo-Pacific ecosystem,aquatic/terrestrial,1
Lake Tanganyika ecosystem,aquatic,1
aridland ecosystems,terrestrial,1
Eastern Deciduous Forest,terrestrial,1
Antarctic nearshore,marine,1
vulnerable island and subtropical ecosystems,terrestrial,1
tri-trophic food web,-,1
Thoreau's woods,terrestrial,1
native food-webs,terrestrial,1
Bermuda ecosystem,terrestrial,1
Mediterranean Marine Ecosystem,marine,1
marine community,marine,1
Devonian ecosystems,marine,1
protected cropping,terrestrial,1
ecoregions,terrestrial,1
worldwide,-,1
estuarine ecosystems,marine,1
