Habitat Name,Type,Ecosystem Type,Count
palms,terrestrial,palm ecosystem,1
mango orchards,terrestrial,Guinean savanna,1
Canal-linked water systems,aquatic,Lowland aquatic system,1
gravel pits and ponds,aquatic,Austrian freshwater ecosystems,1
water bodies,aquatic,Austrian freshwater ecosystems,1
lagoon,aquatic,lagoon ecosystem,1
mountain streams,aquatic,-,1
upland rivers,aquatic,aquatic ecosystem,1
headwaters of Danubian tributaries,aquatic,freshwater systems,1
upper streams,aquatic,freshwater systems,1
Shelter,aquatic,Aquatic ecosystems,1
brooks,aquatic,-,1
ruisseaux de petite taille,aquatic,aquatic ecosystem,1
rivières larges,aquatic,aquatic ecosystem,1
zones de cultures,-,-,1
water systems,aquatic,-,1
dead arms and pools,aquatic,river Elbe,1
lower reaches of watercourses,aquatic,river Elbe,1
main watercourse of Hungary,aquatic,freshwater ecosystems,1
lowland tributaries,aquatic,freshwater ecosystems,1
canals,aquatic,freshwater ecosystems,1
water bodies,aquatic,freshwater ecosystem,1
habitat,aquatic,-,1
lagoons,aquatic,-,2
aquarium habitat,aquatic,inland aquatic ecosystem,1
river habitat,aquatic,riverine ecosystem,1
headwater stream,aquatic,river ecosystem,1
"lakes, rivers, streams, artificial reservoirs",aquatic,aquatic systems,1
tributaries,aquatic,coastal river ecosystem,1
muscles and fins of gobiid species,aquatic,Vistula River Ecosystem,1
gut of Chinese sleeper,aquatic,Vistula River Ecosystem,1
shallow pools with aquatic vegetation,aquatic,freshwater ecosystem,1
lake Bulera habitat,aquatic,-,1
lake Ruhondo habitat,aquatic,-,1
river sector,aquatic,Douro River system,1
river habitats,aquatic,Freshwater,1
lake habitats,aquatic,Freshwater,1
ark sites,aquatic,aquatic ecosystems,1
waterbodies,aquatic,invaded ecosystems,1
Lithuanian fresh waters,aquatic,freshwater,1
rivers,aquatic,Freshwater ecosystem,1
backwater habitat,aquatic,-,1
streams,aquatic,stream food webs,1
Hampstead Heath ponds,aquatic,aquatic ecosystems in Britain,1
Regents Canal,aquatic,aquatic ecosystems in Britain,1
Thames catchments,aquatic,aquatic ecosystems in Britain,1
profundal,aquatic,lake ecosystem,1
northern shore of Lake Balaton,aquatic,lake ecosystem,1
shallow lake,aquatic,-,1
freshwater,aquatic,aquatic ecosystem,3
Rhine River,aquatic,river ecosystems,1
Moselle River,aquatic,river ecosystems,1
heated lake habitat,aquatic,novel environment,1
spring brook,aquatic,-,1
reservoirs,aquatic,artificial dam lakes,1
Piediluco lake,aquatic,freshwater ecosystem,1
riverine habitat,aquatic,European inland waters,1
non-native river,aquatic,riverine ecosystems,1
waterbodies,aquatic,freshwater ecosystem,1
benthic,aquatic,freshwater ecosystem,2
pelagic,aquatic,freshwater ecosystem,1
small reservoir,aquatic,Tagus river basin,1
freshwater habitat,aquatic,Lake Trasimeno ecosystem,1
small artificial lake,aquatic,-,1
near-bottom water layers,aquatic,littoral zone ecosystem,1
watercourses,aquatic,river ecosystem,1
downstream reaches,aquatic,river ecosystem,1
large vegetated lakes,aquatic,Patagonia aquatic ecosystem,1
benthic habitat,aquatic,river ecosystem,1
balast water,aquatic,coastal brackish waters,1
Ústí nad Labem port,aquatic,European water systems,1
warm habitats of Lake Hévíz area,aquatic,wetland,1
lake benthic habitat,aquatic,Lake Qarun ecosystem,1
mainstem of the Guadiana River,aquatic,Guadiana River,1
downstream reaches,aquatic,Tiber River Basin,1
stony littoral,aquatic,lake ecosystem,1
stream habitats,aquatic,freshwater ecosystems,1
natural lakes in Bogor,aquatic,natural lakes,1
fishponds,aquatic,fishpond ecosystem,1
small lowland river,aquatic,-,1
stream,aquatic,chalk stream,1
deep and impounded river reach,aquatic,river ecosystem,1
littoral zone,aquatic,temperate river ecosystem,1
climatic habitat,aquatic,-,1
banks of the lake,aquatic,lake,1
lowlands of the Tagus River basin,aquatic,freshwater,1
upland river,aquatic,freshwaters,1
land,terrestrial,Upper Rhine River system,1
small ponds,aquatic,Upper Rhine River system,1
salinised tributaries,aquatic,tributaries of the upper Vistula River,1
lake habitats,aquatic,lake ecosystem,1
natural thermal pond (spa),aquatic,temperate waterbodies,1
non-thermal brook,aquatic,temperate waterbodies,1
heated water channel,aquatic,freshwater ecosystems,1
small eutrophic lakes,aquatic,lake ecosystem,1
Iberian streams,aquatic,Mediterranean,1
Intermediate Water Depths (0.2–0.6 m to 0.4–0.6 m),aquatic,Freshwater Ecosystem,1
Areas with Boulder and Bedrock,aquatic,Freshwater Ecosystem,1
Żerań Canal,aquatic,European open waters,1
Krasiński Garden,aquatic,European open waters,1
Dąbie Pond,aquatic,European open waters,1
riverine habitat,aquatic,Danube ecosystem,1
riverine habitats,aquatic,inland water ecosystems,1
littoral zone,aquatic,-,1
open freshwater habitats,aquatic,-,1
thermal waters,aquatic,urban aquatic ecosystem,1
streams,aquatic,Martinique freshwater ecosystems,1
closed water bodies,aquatic,Martinique freshwater ecosystems,1
bottom-dwelling habitat and shelters,aquatic,invaded ecosystems,1
Kura River drainage,aquatic,Kura River drainage,1
lake,aquatic,clear-water ecosystem,1
lentic habitats,aquatic,-,2
lotic habitats,aquatic,-,1
water gardens,aquatic,horticultural trade system,1
intertidal area,aquatic,estuarine,1
subtidal zone,aquatic,estuarine,1
freshwater habitats,aquatic,freshwater aquatic ecosystems,1
low order streams,aquatic,streams ecosystem,1
Andean streams,aquatic,streams ecosystem,1
littoral habitat,aquatic,shallow lake ecosystem,1
structured habitat,aquatic,shallow lake ecosystem,1
river habitat,aquatic,European freshwater ecosystem,1
shallow aquatic habitat,aquatic,aquatic macrophyte ecosystem,1
lake bottom substrate,aquatic,urban lake,1
pond system,aquatic,wetland ecosystem,1
impoundments of the Drava River,aquatic,river ecosystem,1
areas not directly exposed to the main water current,aquatic,river ecosystem,1
fresh and brackish waters,aquatic,fresh and brackish waters,1
River Minho,aquatic,tidal freshwater wetlands,1
river habitat,aquatic,river system,1
shallow eutrophic lake,aquatic,aquatic ecosystem,1
bank reinforcement structures,aquatic,freshwater ecosystem,1
natural substrate,aquatic,freshwater ecosystem,1
heterogeneous environment,terrestrial,-,1
spatially continuous habitats,terrestrial,heterogeneous environment,1
spatially discrete models,terrestrial,heterogeneous environment,1
periodical stripe-like environments,terrestrial,heterogeneous environment,1
randomized environments,terrestrial,heterogeneous environment,1
aboveground,terrestrial,plant community,1
root zone,terrestrial,plant community,1
island,terrestrial,island ecologies,1
vegetation,terrestrial,desert,1
fire-prone kwongan,terrestrial,kwongan,1
subtidal zones,marine,marine ecosystem,1
soil-filled causeway,terrestrial,North America,1
woodlands,terrestrial,woodlands,2
freshwater turtles' habitat,aquatic,freshwater ecosystem,1
field,marine,marine ecosystem,1
wetland habitat,terrestrial,wetland,1
waters off central California,aquatic,ocean,1
empty habitats,-,-,1
intertidal habitat,marine,intertidal zone,1
nitrogen-limited grasslands,terrestrial,terrestrial ecosystems,1
soil,terrestrial,southeastern U.S. ecosystems,1
nests,terrestrial,ecological domination by Argentine ants,1
submerged aquatic vegetation (SAV) habitat,aquatic,estuary,1
honeysuckle-invaded areas,terrestrial,natural areas,1
honeysuckle-uninvaded areas,terrestrial,natural areas,1
Understory shrubs,terrestrial,Understory shrub ecosystem,1
Antarctic Peninsula,terrestrial,Antarctic ecosystem,1
Ross Sea,marine,Antarctic ecosystem,1
East Antarctic coast,terrestrial,Antarctic ecosystem,1
hibernation sites,terrestrial,-,1
native-forest remnants,terrestrial,-,1
grasslands,terrestrial,grassland ecosystem,5
nonequilibrium conditions at expanding range edges,terrestrial,tropical ecosystem,1
Potato Fields,terrestrial,Agricultural Ecosystem,1
natural areas,-,-,1
desert habitat,terrestrial,Australian deserts,1
savanna habitat,terrestrial,tropical savannas,1
British sites,terrestrial,British Countryside,1
ruderal or managed pasture habitats,terrestrial,managed systems,1
germ line,terrestrial,terrestrial ecosystem,1
continental slope,marine,Antarctic shelf ecosystem,1
outer shelf,marine,Antarctic shelf ecosystem,1
"shallow, coastal environments",marine,Antarctic shelf ecosystem,1
insular environments,terrestrial,-,1
ryegrass fields,terrestrial,agricultural ecosystems,1
pasture grass plots,terrestrial,agricultural ecosystems,1
isolated water bodies,aquatic,freshwater ecosystems,1
suitable habitat adjacent to introduced range,marine,coastal community,1
pine forest,terrestrial,forest ecosystems,1
broad-leaved forest,terrestrial,forest ecosystems,1
rainfed agroecosystems,terrestrial,agroecosystems,1
irrigated agroecosystems,terrestrial,agroecosystems,1
Lakes,aquatic,Shallow Lakes,1
Everglades habitats,aquatic,Everglades,1
Chabalang wetlands,aquatic,wetlands,1
Chongdui wetlands,aquatic,wetlands,1
planktivorous fish habitat,aquatic,Lake Erie ecosystem,1
pebbly shores of watercourses,terrestrial,-,1
alluvial forests with Alnus glutinosa,terrestrial,-,1
foredune,terrestrial,coastal barrier system,1
swimming pool,aquatic,-,1
benthic,aquatic,Mediterranean Sea,1
soft-bottom habitat,marine,marine ecosystem,1
urban area,-,Atlantic Rainforest,1
coastal regions,marine,marine,1
offshore,marine,marine,1
Faro lake waters,aquatic,Faro lake ecosystem,1
subtidal biofouling community,aquatic,-,1
underwater CO2 vent habitat,marine,ocean,1
young stems,terrestrial,tropical grasslands,1
older shoots,terrestrial,tropical grasslands,1
Beech litter and soil,terrestrial,Temperate Forest Ecosystem,1
invaded site,-,Mediterranean ecosystem,1
Alcedo volcano,terrestrial,Galapagos Islands ecosystem,1
grassland patches and crops,terrestrial,riparian ecosystem,1
Solanum nigrum plants,-,-,1
lentic aquatic environments,aquatic,lentic aquatic environments,1
steppe lagoon,aquatic,wetland ecosystem,1
rushes,aquatic,wetland ecosystem,1
open water,aquatic,wetland ecosystem,1
cooling pond,aquatic,aquatic systems,1
Upper Missouri River,aquatic,Riverine ecosystem of Missouri River,1
Lower Missouri River,aquatic,Riverine ecosystem of Missouri River,1
sub-alpine stream,aquatic,lotic food webs,1
Wetland habitats,aquatic,Wetland,1
wetland sediment,aquatic,wetland,1
benthic community,aquatic,aquatic ecosystems,1
tributary streams,aquatic,riverine,1
emergent vegetation,aquatic,shallow aquatic ecosystems,1
benthic systems,marine,marine ecosystem,1
pelagic systems,marine,marine ecosystem,1
sediments,marine,marine ecosystem,1
Apulian waters,marine,Mediterranean waters,1
littoral and deep bottoms,aquatic,Ligurian marine ecosystems,1
coastal water masses,aquatic,Ligurian marine ecosystems,1
alpine grassland,terrestrial,alpine grassland,1
beech forest,terrestrial,beech forest,1
native tussock,terrestrial,tussock grassland,1
tussock oversown with exotic pasture species,terrestrial,tussock grassland,1
cultivated sown pasture,terrestrial,tussock grassland,1
suburban citrus grove,terrestrial,-,1
habitat_name,-,ecosystem_name,1
vegetation habitats in Morialta Conservation Park,terrestrial,Mount Lofty Ranges ecosystem,1
riverine habitat,aquatic,River Rhine ecosystem,1
trunk cavities,terrestrial,native biodiversity,1
Boulder Basin,aquatic,Lake Mead ecosystem,1
hypereutrophic lake water,aquatic,lake ecosystem,1
Guaiba Lake,aquatic,freshwater,1
Río de la Plata Estuary,aquatic,freshwater,1
artificial structures,marine,marine ecosystem,1
biofouling habitat,marine,marine,1
African waters,aquatic,marine habitats,1
biofouling communities,marine,marine environment,1
biofouling communities,marine,marine ecosystem,2
floating pontoons,marine,marine ecosystem,1
neighboring micro-habitats,marine,marine ecosystem,1
shrubland,terrestrial,Mediterranean shrubland,1
tropical savanna,terrestrial,savanna,1
grasshopper communities,terrestrial,Pampas ecosystem,1
infested sites in South Africa,terrestrial,South African ecosystems,1
ballast water,aquatic,aquatic ecosystem,4
high amenity areas,terrestrial,rural,1
clear oligotrophic waters,aquatic,offshore coral reefs,1
mainland Australian coasts,aquatic,-,1
sheltered rocky habitats,marine,hard coastal defence structures,1
tidal pools,aquatic,-,1
Thalli of Caulerpa species,marine,Mediterranean,1
non-natural substrata,marine,-,1
Atlantic marine habitat,marine,Marine,1
cargo,terrestrial,-,1
urban locations,terrestrial,maple-dominant hardwood forest,1
Western Himalayan region,terrestrial,deciduous forests,1
ephemeral water bodies,aquatic,temporary river,1
planktonic habitat,aquatic,floodplain ecosystem,1
freshwater,aquatic,European freshwater,1
-,aquatic,Marmara Sea and Golden Horn Estuary ecosystem,1
environments with high-light regimes,terrestrial,deciduous forest,1
coral reefs habitat,marine,coral reefs,1
canal bank,aquatic,-,1
River,aquatic,River Severn freshwater ecosystem,1
isolated habitats,-,-,1
littoral benthos,aquatic,Lake Garda Ecosystem,1
high-mountainous zones,terrestrial,-,1
channel of an aquaculture facility,aquatic,-,1
infralittoral fringe,marine,Marine Protected Area,1
freshwater habitats,aquatic,terrestrial ecosystems,1
shallow-water (0-20m depth),aquatic,shallow-water benthic ecosystem,1
lagoon,marine,Mediterranean Sea,1
Mediterranean Sea Habitat,marine,Mediterranean Ecosystem,1
coastal trawler fisheries,marine,Central Mediterranean Sea,1
small canal in the southern part of the sub-lacustrine Ticino River basin,aquatic,freshwater ecosystem,1
shallow-water,aquatic,Mediterranean Sea,1
artificial containers,aquatic,-,1
Marine Habitat,marine,Marine Ecosystem,2
mobile coastal dunes,terrestrial,Adriatic coastal dunes ecosystem,1
spatial niches,terrestrial,Adriatic coastal dunes ecosystem,1
river valleys,terrestrial,Alps,1
areas with intense human activity,terrestrial,Mediterranean ecosystem,1
freshwater habitat,aquatic,Mediterranean basin,1
sand dune,terrestrial,Mediterranean,1
coastal,terrestrial,Mediterranean,1
avalanche gullies and moderately steep slopes,terrestrial,alpine ecosystem,1
mesoacidophilous soils on moderate slopes and disused pastures,terrestrial,alpine ecosystem,1
afforestation areas,terrestrial,ecological restoration,1
pastures and grasslands,terrestrial,mountain regions,1
Italian freshwaters,aquatic,freshwaters,1
coastal dunes,terrestrial,dune ecosystem,1
grasslands,terrestrial,submediterranean hay-meadows,1
dense stands,terrestrial,Mediterranean landscape,1
natural habitats containing rare and endemic taxa,terrestrial,island ecosystems,1
island habitats,terrestrial,Mediterranean islands ecosystem,1
industrial area,terrestrial,-,1
areas with calcareous substrata,terrestrial,-,1
seed bank,-,-,1
river catchment,aquatic,European freshwater ecosystems,1
sanctuaires boisés,terrestrial,Soudanienne dry forests,1
lotic environments,aquatic,-,1
garden,terrestrial,garden ecosystem,1
anthropogenically modified habitats,marine,-,1
commonage lands,terrestrial,-,1
benthic habitat,marine,aquatic ecosystem,1
marine,aquatic,aquatic,1
estuarine,aquatic,aquatic,1
river habitat,aquatic,Gangetic river system,1
Alternanthera philoxeroides habitat,aquatic,freshwater ecosystem,1
Typha angustifolia habitat,aquatic,freshwater ecosystem,1
Paspalum distichum habitat,aquatic,freshwater ecosystem,1
no vegetation habitat,aquatic,freshwater ecosystem,1
aquatic niches,aquatic,aquatic ecosystem,1
native trees canopy,terrestrial,Amazon Region,1
intertidal regions,marine,marine ecosystem,1
lacustrine,aquatic,Turkana Basin Freshwater Ecosystem,1
vermetid reef,marine,Mediterranean basin,1
coralligenous formations,marine,Mediterranean basin,1
watercourses,aquatic,water,1
"Bare, disturbed soil",terrestrial,Desert ecosystem,1
Tidal limit of the Kowie River,aquatic,Estuarine ecosystem,1
soft-bottom habitat,marine,benthic ecosystem,1
ports,aquatic,aquatic ecosystem,1
Mar Grande of Taranto,marine,Mediterranean Sea Ecosystem,1
-,-,coastal food web,1
barren grounds,marine,Mediterranean ecosystem,1
shallow rocky communities,marine,Mediterranean ecosystem,1
seagrass meadows,aquatic,Caribbean seagrass ecosystem,1
mixed mussel and oyster bed,aquatic,coastal waters,1
reef with native and non-native oysters,marine,shellfish reef ecosystem,1
artificial habitats,marine,Southwestern Atlantic,1
estuaries,aquatic,coastal waters ecosystem,1
depth range 0 to 5 meters,marine,coastal waters ecosystem,1
deeper waters,marine,coastal waters ecosystem,1
dryland savannahs,terrestrial,savannah,1
niche locations,terrestrial,savannah ecological zone,1
open and disturbed locations,terrestrial,-,1
urban and suburban forest patches,terrestrial,Atlantic rainforest,1
north-facing habitats,terrestrial,Mediterranean ecosystem,1
south-facing habitats,terrestrial,Mediterranean ecosystem,1
alluvial habitats,terrestrial,Mediterranean ecosystem,1
savanna fragment,terrestrial,cerrado,1
sand dunes,terrestrial,coastal ecosystems in Mexico,1
biogeographic provinces in Spain,-,-,1
shrublands,terrestrial,-,2
soil,terrestrial,Antarctic ecosystem,2
Cycas micronesica leaf habitat,terrestrial,Guam's ecosystems,1
freshwater tributaries,aquatic,Chesapeake Bay,1
estuarine habitats,aquatic,tidal Potomac River ecosystem,1
shallow lakes,aquatic,inland lake ecosystem,1
Riparian zone,terrestrial,Temporary river ecosystem,1
mesohaline mudflat,aquatic,-,1
rangelands,terrestrial,montane grassland ecosystem,1
shellfish farms,aquatic,marine natural products,1
reservoirs,aquatic,-,1
desert bioclimatic scales,terrestrial,-,1
sub-humid bioclimatic scales,terrestrial,-,1
lowland rivers,aquatic,freshwater ecosystems,1
nutrient-rich lakes,aquatic,freshwater ecosystems,1
some brackish waters,aquatic,freshwater ecosystems,1
water bodies,aquatic,riparian ecosystem,1
urban forest,terrestrial,urban ecosystem,1
coastal habitats,terrestrial,coastal ecosystem,2
riparian habitats,terrestrial,riparian systems,1
ruderal habitats,terrestrial,-,3
Tiber River,aquatic,freshwater ecosystem,1
downstream reaches of the main tributaries,aquatic,freshwater ecosystem,1
Aquatic habitat,aquatic,Aquatic ecosystem,2
connected river systems,aquatic,Turkish freshwater ecosystems,1
suitable habitats,aquatic,Turkish freshwater ecosystems,1
freshwater,aquatic,estuarine,1
estuarine,aquatic,-,3
salt marsh,aquatic,-,1
field soils,terrestrial,deciduous forests,1
growth room,-,-,1
medium capable of supporting invader growth,aquatic,bacterial communities,1
various habitats,terrestrial,-,1
buffalo grazing areas,terrestrial,savannah ecosystem,1
shared habitats,-,-,1
riverine habitats,aquatic,aquatic systems,1
littoral zone,aquatic,boreal lake ecosystems,1
"downstream, warmer waters",aquatic,-,1
artificial environments,aquatic,freshwater,1
streams,aquatic,freshwater,1
shady and water-stress habitats,terrestrial,terrestrial ecosystems in Europe,1
stream habitat,aquatic,river networks,1
woodland,terrestrial,-,2
Freshwater ponds,aquatic,Freshwater ecosystem,1
Reef,marine,Reef ecosystems,1
northern heathlands,terrestrial,heathlands,1
"habitats influenced by climate, soil, water",terrestrial,various ecosystems in Europe,1
container,aquatic,-,1
novel habitats,-,global ecosystems,1
forest plots,terrestrial,temperate forests,1
vernal pools,aquatic,vernal pool systems,1
Gulf Coast Habitat,terrestrial,Gulf Coast Ecosystem,1
stands,terrestrial,wetlands,1
belowground,terrestrial,wetland,1
gap,terrestrial,forest,1
forest edge,terrestrial,forest,1
below the canopy,terrestrial,forest,1
soil,terrestrial,native plant community,1
soil,terrestrial,ecosystem,2
arid zone,terrestrial,pollination networks,1
humid habitat,terrestrial,pollination networks,1
highly disturbed sites on Auckland Islands,terrestrial,indigenous ecosystems on islands,1
marsh habitat,terrestrial,marsh,1
soil,terrestrial,rhizosphere,1
drought environments,terrestrial,-,1
belowground habitat,terrestrial,legume–rhizobium interaction network,1
sandy coastal plains,terrestrial,Restinga vegetation,1
landscape,terrestrial,native ecosystems,1
fruit orchards,terrestrial,urban ecosystems,1
island archipelago habitats,terrestrial,fungal symbiotic network,1
summit areas of oceanic islands,terrestrial,oceanic high-mountain ecosystem,1
high-elevation communities,terrestrial,oceanic high-mountain ecosystem,1
warm-temperate regions,terrestrial,terrestrial ecosystem,1
(sub)tropical regions,terrestrial,terrestrial ecosystem,1
crop plant habitats,terrestrial,agricultural ecosystem,1
field conditions,terrestrial,temperate regions,1
-,-,Mediterranean-type woodlands,1
open canopy,terrestrial,-,1
closed canopy,terrestrial,-,1
forests,terrestrial,European forests,1
lakes,aquatic,freshwaters,1
streams,aquatic,freshwaters,1
disturbed habitat,terrestrial,terrestrial ecosystem,1
natural habitat,terrestrial,terrestrial ecosystem,1
river systems,aquatic,riparian systems,1
natural stand,terrestrial,agricultural landscape,1
new habitats,-,biodiversity and ecosystem functioning,1
sub-tropical forests,terrestrial,sub-tropical forests,1
dry woodlands,terrestrial,dry woodlands,1
secondary temperate grasslands,terrestrial,secondary temperate grasslands,1
Rhododendron habitat,terrestrial,natural ecosystems,1
native habitats,terrestrial,-,3
risky habitat,aquatic,-,1
shelter,aquatic,-,2
bushland remnants,terrestrial,-,1
residential gardens,terrestrial,-,1
terrestrial habitats,terrestrial,Mediterranean ecosystem,1
marsh,aquatic,water frog complex,1
substrates with crevices,-,-,1
urban habitats,-,-,2
edge communities,terrestrial,forest,1
Spanish streams,aquatic,freshwater,1
cave entrance environments,terrestrial,cave ecosystem,1
harbors,marine,coral reefs,1
brackish habitats,aquatic,salt marsh,1
large rivers in Illinois,aquatic,freshwater systems,1
mono-dominant lowland wet tropical forest,terrestrial,tropical forest,1
-,terrestrial,terrestrial ecosystem,2
coastal,terrestrial,coastal plant communities,1
stony substrate,aquatic,riverine ecosystem,1
-,-,marine,3
bird nests,terrestrial,rainforest ecosystem,1
human dwellings,terrestrial,-,1
agricultural sectors,terrestrial,-,1
Cherry fruit habitat,terrestrial,Cherry orchard ecosystem,1
introduced pine forests,terrestrial,pine forests,1
maize fields,terrestrial,agro-ecological zones,1
uncultivated vegetation,terrestrial,arid desert ecosystem,1
irrigated lands,terrestrial,agricultural ecosystem,1
forest soil,terrestrial,kauri forest ecosystem,1
forest soil,terrestrial,pine plantation ecosystem,1
alkaline soils,terrestrial,-,1
acidic soils,terrestrial,-,1
infected ashes,terrestrial,ash stands,1
undisturbed ancient woodland,terrestrial,"ancient, semi-natural woodland",1
broadleaved trees,terrestrial,urban parks and gardens,1
fruit,terrestrial,temperate montane forests,1
leaf and root,terrestrial,-,1
freshwaters,aquatic,freshwaters,1
freshwater,aquatic,Neotropical,1
abalone farms,aquatic,coastal biome,1
tidal regions of the lower river,aquatic,river and estuarine ecosystem,1
resevoirs in the Columbia and Snake Rivers,aquatic,river and estuarine ecosystem,1
artificial structures (offshore platforms),marine,subtidal ecosystem,1
fresh-water,aquatic,-,1
Jakarta Bay,marine,marine ecosystem,1
Port of Tanjung Priok habitat,marine,marine ecosystem,1
intertidal zone,marine,rocky intertidal shore,1
ark site,aquatic,freshwater,1
peanut fields,terrestrial,agricultural ecosystem,1
sesbania fields,terrestrial,agricultural ecosystem,1
Ipomoea habitat,terrestrial,sweet potato ecosystem,1
agricultural lands,terrestrial,Eastern African agricultural ecosystem,1
rivers,aquatic,freshwater,4
flowers,terrestrial,horticultural,1
horticultural product shipments,terrestrial,horticultural,1
horticultural ports,terrestrial,global agricultural landscape,1
areas where yellowjackets are a problem,terrestrial,terrestrial ecosystem,1
container-dwelling,unknown,-,1
larval habitats,aquatic,-,1
forest,terrestrial,tropics,1
rain-forest zone,terrestrial,tropics,1
steppe zone,terrestrial,temperate zone,1
artificial larval habitats,aquatic,-,1
flooded environment,aquatic,wetland,1
non-flooded environment,terrestrial,wetland,1
transition dune community,terrestrial,coastal dune ecosystem,1
island habitat,terrestrial,native ecosystems,1
deciduous forests,terrestrial,oak forests,1
low-mountain woodlands,terrestrial,mountain ecosystem,1
high altitude habitat,terrestrial,tropical ecosystem,1
pastures,terrestrial,protected areas,1
lagoon,aquatic,Mediterranean,1
salt marsh habitats,marine,marine environment,1
man-made substrates,marine,marine environment,1
natural substrates,marine,marine environment,1
freshwater habitats,aquatic,freshwater wetlands,1
aquatic macrophyte habitat,aquatic,aquatic ecosystem,1
forest substrates,terrestrial,Mid-Atlantic forests of Eastern North America,1
water surface,aquatic,freshwater ecosystem,1
submerged macrophytes and associated periphyton,aquatic,freshwater ecosystem,1
oligohaline site,aquatic,Mondego Estuary Ecosystem,1
shallow waters,marine,marine ecosystem,1
coastal habitat,aquatic,estuarine ecosystem,1
pelagic,aquatic,marine realm,1
brackish water,aquatic,Mediterranean lagoon ecosystem,1
shallow lakes,aquatic,surface waters,1
euphotic layer,aquatic,large marine ecosystem,1
pelagic,marine,Black Sea food web,1
benthic,marine,Black Sea food web,1
High-saline areas,marine,Baltic Sea Ecosystem,1
Brackish areas,marine,Baltic Sea Ecosystem,1
estuary,aquatic,estuarine ecosystem,4
Lake Texoma,aquatic,-,1
closed forest understorey,terrestrial,forest ecosystem,1
canopy disturbance (gap),terrestrial,forest ecosystem,1
plantation,terrestrial,savanna ecosystem,1
natural habitats,terrestrial,forest,1
forest,terrestrial,rainforest,1
greenhouse,terrestrial,-,4
freshwater,aquatic,freshwaters,3
habitats in Central Mexico,aquatic,-,1
breeding habitat,aquatic,desert,1
elevational gradient,terrestrial,-,1
-,-,terrestrial ecosystem,5
roosting habitat,terrestrial,-,1
terrestrial shelters,terrestrial,semi-arid ecosystem,1
wetlands,aquatic,savannah ecosystem,1
soil habitat,terrestrial,sub-Antarctic ecosystems,1
inland waters,aquatic,freshwater ecosystems,1
temperate coastal habitats,marine,temperate coastal ecosystem,1
surrounding habitat,-,-,1
campo sujo,terrestrial,biodiversity hotspot,1
campo úmido,terrestrial,biodiversity hotspot,1
brackish-water,aquatic,aquatic ecosystem,1
marine,aquatic,aquatic ecosystem,2
terrestrial habitat,terrestrial,local populations,1
Australian waters,aquatic,marine ecosystem,1
phytoplasma-infected hosts,terrestrial,citrus cultivation ecosystem,1
grapevine,terrestrial,agrosystem,1
stream habitat,aquatic,freshwater ecosystem,1
desert system,terrestrial,desert,1
near-bed regions of the flume,aquatic,lentic,1
island habitat,terrestrial,island biogeography,1
small cold streams,aquatic,freshwater,1
new habitats,aquatic,freshwater,1
aquatic habitat,aquatic,coastal marine ecosystem,1
forest understorey,terrestrial,Nothofagus forest,1
artificial water points (AWP),aquatic,arid landscape,1
abandoned agricultural fields,terrestrial,agricultural ecosystem,1
ballast water and sediment,aquatic,-,1
natural waterbodies,aquatic,-,1
island,terrestrial,Galapagos,1
N/A,-,-,2
ballast water,aquatic,ocean-going ship ecosystems,1
vegetable material pathways,-,-,1
vehicle or timber import pathways,-,-,1
-,-,microbial community,1
reefs,marine,Marine ecosystem,2
habitats on oceanic islands,terrestrial,island ecosystem with high endemism,1
vegetable growing areas,terrestrial,-,1
above-ground,terrestrial,boreal to temperate forest transition,1
below-ground,terrestrial,boreal to temperate forest transition,1
suitable habitats for Ailanthus altissima,terrestrial,Appalachian Trail ecosystem,1
-,-,marine ecosystem,2
seaside spit,terrestrial,-,1
sub-Antarctic islands habitat,terrestrial,sub-Antarctic islands ecosystem,1
areas within La Réunion,terrestrial,Island ecosystem,1
not specified,-,-,5
lateral root bases,aquatic,tropical,1
aerated soils,terrestrial,-,1
submerged conditions,terrestrial,-,1
wave-front of the invasion,-,range expansion ecosystem,1
naturalized populations of Lilium formosanum,terrestrial,naturalized populations,1
natural habitats,terrestrial,island ecosystem,1
soils under P. cuspidatum stands,terrestrial,invaded ecosystems,1
adjacent soils,terrestrial,invaded ecosystems,1
newly created disturbed habitats,marine,marine ecosystem,1
vegetated habitats,aquatic,-,1
open habitats,aquatic,-,1
intertidal habitat,aquatic,-,1
subtidal habitat,aquatic,-,1
soil habitats,terrestrial,forest,1
oil palm road,terrestrial,tropical rainforest remnants,1
forest-oil palm edges,terrestrial,tropical rainforest remnants,1
disturbed forest,terrestrial,tropical rainforest remnants,1
intact forest,terrestrial,tropical rainforest remnants,1
coastal habitats,aquatic,wetland ecosystem,1
water column,aquatic,-,1
distinct niches at different life stages,marine,marine ecosystem,1
mid-successional stages,marine,marine ecosystem,1
Cladoceran prey feeding habitat,aquatic,Freshwater,1
forest specialist insect communities,terrestrial,forest ecosystem,1
mesocosms,aquatic,pond ecosystem,1
benthic,aquatic,river ecosystem,1
native habitat,-,-,1
-,-,mesocosm ecosystems,1
soil,terrestrial,terrestrial ecosystems,3
forested habitat,terrestrial,terrestrial ecosystem,1
tank aquaria,aquatic,pond mesocosms,1
pollination networks,terrestrial,biodiverse ecosystem,1
crop habitats,terrestrial,agricultural ecosystem,2
woodland clearings,terrestrial,savanna,1
