Relationship Name,Type,Count
nitrogen competition,ecological,1
management intervention,anthropogenic,3
habitat use and stress,biological,1
interaction pressure,ecological,1
bottom-up influence,ecological,1
resource influence,ecological,1
environmental and biotic pressures,ecological,1
species distribution and detection,ecological,1
Pollination,ecological,1
Impacts fruit production,ecological,1
positive relation,ecological,2
higher interception,ecological,1
host range expansion and herbivore damage,ecological,1
dominant guilds causing damage,biological,1
spread source,ecological,1
habitat refuge relationship,ecological,1
habitat function relationship,ecological,1
impact prediction,ecological,1
location of invasive species,geographical,1
control strategies,ecological,1
colonization and recovery,ecological,1
management actions on invasive populations,ecological,1
exposure to invasion,ecological,1
connectivity increase,ecological,1
impact,ecological/socio-economic,1
allergic reaction,biological,1
spread containment,ecological,1
introduction via Escape and Release,ecological,1
introduction via unintentional transport,ecological,1
association between number of pathways and impact,ecological,1
invasion and carbon loss,ecological,1
increased abundance,anthropogenic,1
abundance control,anthropogenic,1
collaboration for population control,anthropogenic,1
population control options,biological,1
pathogen-host impact,biological,1
nutrient-driven invasion,ecological,1
nutrient relationship,ecological,1
grazing benefit,ecological,2
grazing interaction,ecological,2
impact of invasive shrub,ecological,1
pollination service,ecological,2
settlement and dispersal,ecological,1
management and monitoring,anthropogenic,1
introduction for pollination,anthropogenic,2
vector-mediated dispersal,biological,1
infection status prediction,ecological,1
prey-predator dynamics,ecological,2
mediated effects,ecological,1
"facilitation, complementarity, and selection effects",ecological,1
decline and restoration,ecological,1
response to control and landscape productivity,ecological,1
rapid decline and seasonally driven recovery,ecological,1
spread of NIS,ecological,1
source of NIS richness,ecological,1
transportation of species,ecological,1
impact on community structure,biological,1
affect,indirect ecological,1
positive control,ecological,1
infection and population impact,biological,1
suppression of competing strains,biological,1
spread,biological,4
data recovery,ecological,1
positive interaction prevalence increase,physical,1
positive interaction prevalence decrease,physical,1
control effect,anthropogenic,1
carbon storage alteration,ecological,1
native carbon storage,ecological,1
secondary poisoning,ecological,1
canopy cover effect on bamboo,ecological,1
forest management impact on bamboo spread,anthropogenic,1
increased diversity and abundance,ecological,1
dietary overlap and preferences,ecological,1
impact on plant community,ecological,2
overgrazing phase-shift,ecological,1
invasion post-degradation,ecological,1
proliferation due to habitat degradation,ecological,1
destructive grazing behavior,biological,1
predation & competition,ecological,1
escape,ecological,3
parasitise,biological,1
release,ecological,1
stowaway,ecological,1
introduction relationship,ecological,1
trait-environment relationship,ecological,5
native range,geographical,1
non-native range,geographical,1
damage comparison,ecological,1
increased enemy damage,ecological,1
influence on fruit damage,ecological,1
plant-soil feedbacks,ecological,1
native-exotic feedbacks,ecological,1
hunting platform,ecological,1
shaping interactions,ecological,1
specialization measurement location,ecological,1
successful establishment,ecological,1
no effect,biological,1
increased recruitment and establishment,ecological,1
benefit,ecological,1
growth performance,ecological,1
soil feedback impact,ecological,2
negative impact on abundance and richness,ecological,2
loss of diversity linked,ecological,1
effect on seedling biomass,ecological,1
soil-mediated effects,ecological,1
impact of storm on species richness,ecological,1
correlation between basal area and species richness,ecological,1
key service provision,ecological,1
herbivore release,ecological,1
traits shift,ecological,1
impact on plant community structure,ecological,1
facilitation of co-invasion,ecological,1
ectomycorrhizal infection,biological,1
seed and seed predator interaction,ecological,1
toxicity,ecological,2
chemical composition,biological,2
capacity for rapid evolution,ecological,1
natural adaptation process,ecological,1
"increase in productivity, abundance, and nitrogen",ecological,1
disparity in impacts on ecosystem processes,ecological,1
community association,ecological,3
community differentiation,ecological,1
biotic resistance,biological,3
effect on litter decomposition,ecological,1
impact of herbivores,ecological,1
increased invasibility post-drought,ecological,1
lower invasibility post-drought,ecological,1
nutrient pulse association,ecological,1
release from pathogens and herbivores,ecological,1
minimum temperature effect,physical,1
classification,ecological,2
establishment limitation,biological,2
response to nutrient fluctuation,ecological,2
source of invasive species,anthropogenic,1
geographic cline in plant performance,ecological,1
invasive impact on flammability,ecological,1
habitat niche segregation,ecological,1
habitat conditions,ecological,1
inbreeding impact on herbivory,biological,1
enhancement of survival,ecological,1
impact on ecosystem functioning,ecological,2
propagule establishment,ecological,2
interaction with soil nutrients,ecological,1
sediment stabilization capacity,ecological,1
sediment resuspension and susceptibility to uprooting,ecological,1
impact of grazing on sediment stabilization,ecological,1
beneficial indirect interaction,ecological,1
soil fungi interaction,ecological,1
promoting interaction,ecological,1
increased herbivory,ecological,1
release from browsing,ecological,1
effect on leaf defense traits,ecological,1
association with herbivory,ecological,1
HP transfer,ecological,1
fitness consequence,biological,1
invasiveness prediction,ecological,3
insight provision,ecological,1
fitness interaction,ecological,3
greater seed production,biological,2
absence of seed size–number trade-offs,biological,1
alteration,biological,1
herbivory level variation,ecological,1
herbivory resistance,ecological,2
shared habitat usage,ecological,1
origin and invasion,ecological,1
current status,ecological,1
main mechanism of spread,anthropogenic,1
emergence and survival influence,physical,2
genotype influence on competitiveness,biological,1
spread,ecological/anthropogenic,2
microbiota source and development,ecological,1
stable bacterial community,ecological,1
intraguild predation and competition for resources,ecological,1
impact on human welfare,anthropogenic,1
growth and survival,biological,1
lack of survival,biological,1
competition or inhibition,ecological,1
nesting proximity,ecological,1
competition for nesting sites,ecological,1
larval interference competition,ecological,1
development and feeding,biological,1
invasive populations,ecological,1
integrated stress resistance,physiological,1
common origin indication,ecological,1
introduction event,anthropogenic,3
distinction using DNA barcoding,biological,1
presence and detection,ecological,1
species inventory,ecological,1
detection and monitoring,biological,1
detection and identification,ecological,5
introduction prevention,anthropogenic,1
detection of invasive species,ecological,1
biodiversity monitoring,ecological,1
proliferation in disturbed ecosystems,ecological,1
protein secretion,biological,1
harmful impact,ecological,1
predation and defense,biological,1
eradication management,ecological,1
predator-prey modification and apparent competition,ecological,1
impact_of_invasion,ecological,2
species_richness_correlation,ecological,1
habitat use impact,ecological,1
driver-passenger model,ecological,1
predator-prey/interaction with invasive species,ecological,1
predation and response,ecological,1
vulnerability to poisoning,biological,1
conservation translocation,ecological,1
adaptation to climate change,ecological,1
host-herbivore relationship,biological/ecological,2
light environment occupation,ecological,1
willingness to forage,ecological,1
species richness and climatic relationship,physical,1
deleterious effects,ecological,1
invasion of islands,biological,1
impact on wetlands,ecological,1
establishment and eradication target,ecological,1
seed dispersal and germination facilitation,ecological,1
management prioritization,administrative,1
Herbivory,ecological,1
Invasion level,ecological,2
dispersal and viability impact,ecological,1
dispersal pathways,ecological,1
species impact on location,ecological,2
shared invasive community,ecological,1
germination response,ecological,3
heat-stimulated germination,ecological,1
heat-tolerant germination,ecological,1
vulnerability of new post-fire growth,ecological,1
distribution,physical,1
response to warming,ecological,1
population trends,ecological,1
pest-host interaction,ecological,1
foraging and pollination,ecological,1
repellent effect,biological,1
host-pest,biological,1
co-infestation pattern,ecological,1
competition avoidance,ecological,1
predation and pathogen dissemination,biological/ecological,1
partitioning,ecological,1
competition/restoration limit,ecological,1
potential for restoration,ecological,1
native species response,ecological,1
species diversity related to disturbance,ecological,1
interaction between disturbance and dispersal mode,ecological,1
parasitism and suppression,ecological,1
interference with key traits,ecological,1
high species replacement among natives,ecological,1
limited exotic spread,ecological,1
biotic differentiation,ecological,1
community response,ecological,1
inhibition of establishment,ecological,1
abundance control,ecological,1
genetic clustering,ecological,1
historical migration,ecological,1
data contribution,anthropogenic,1
comparative novelty,ecological,1
antipredator responses,ecological,1
herbivore-plant nativeness interactions,ecological,1
commensal relationships,ecological,1
impact modification,ecological,1
range increase,ecological,1
potential impacts,ecological,1
role in plant invasions,anthropogenic,1
historical role in plant invasions,anthropogenic,1
sourcing of plant species,commercial,1
effects on ecosystem services,ecological,1
biosecurity priority,anthropogenic,1
edge effect,ecological,1
disturbance effect,ecological,1
population impact by human disturbances,anthropogenic,1
enhancement of fruit output and population growth,ecological,1
competition for seed rain prominence,ecological,1
impact on roosting behavior,ecological,1
detrimental impact,ecological,2
host-sharing and herbivory,ecological,1
promotion of native plant recovery,ecological,1
translocation,biological,1
trait differences and range characteristics comparison,ecological,1
risk amplification,ecological,1
species outbreak control,ecological,1
connection by canal construction,physical,1
distribution and genetic differentiation,biological,1
undocumented presence,biological,1
barrier relationship,physical,1
conflicting goals,ecological/anthropogenic,1
competition/predation cascade,ecological,1
indirect increase in mosquito populations,ecological,1
benefit-cost context,economic/social,1
incentive-saction context,social/economic,1
management of invasive species,anthropogenic,3
driving force,ecological,2
management challenge,social,1
invasion regulation,anthropogenic,1
effectiveness,ecological,1
modification of trade routes,anthropogenic,1
impact of trade regulations,anthropogenic,1
threaten,ecological/economic,1
impact,ecological/economic/health,1
introduction pathway,physical,1
arrival and management,ecological,1
eradication,biological,1
density interaction,ecological,1
species richness association,ecological,1
habitat use quantification,ecological,1
effects on species composition,ecological,1
impact on alpha diversity,biological,1
host_species_association,biological,1
host-affiliate relationship,biological,1
alternative host relationship,biological,1
host resource dilution,ecological,1
surveillance,anthropogenic,1
genetic sink,ecological,1
physiological performance prediction,ecological,1
geographical concentration,ecological,1
impact on vulnerability,ecological,1
occupancy influence,ecological,1
invadedness,ecological,1
location,geographical,1
transport and introduction,ecological,1
invasion risk analysis,ecological,1
climatic suitability modeling,ecological,1
association with establishment and dominance,ecological,1
association with establishment and dominance,anthropogenic,1
varying susceptibilities,ecological,1
origin of invasion,historical,1
invasion range,ecological,1
lack of pollination,ecological,1
reproductive failure,ecological,1
invasion driver,ecological,1
inhibition driver,ecological,1
exacerbation,ecological,1
distribution modeling for invasive plants,ecological,2
habitat_occupation,ecological,1
invasion_success,ecological,2
favouring,ecological,1
preference,ecological,1
disproportionate favouring,ecological,1
co-invasion and facilitation via shared fungi,ecological,1
thermal behaviour and invasion,ecological,1
predation and impact,ecological,3
prevention of new invasions,anthropogenic,1
competition under climate change,ecological,1
distribution trends,ecological,1
habitat contraction,ecological,1
ecological shift,ecological,1
origin relationship,biological,1
population similarity,biological,1
population control impact,ecological,1
mutualistic interactions,ecological,2
interaction probability,ecological,1
impact on bird distribution,ecological,1
natural presence,ecological,1
abundance and dominance,ecological,1
species roles in networks,ecological,1
impact mechanism,ecological,1
protection,ecological,2
allochronic speciation,ecological,1
range limitation,ecological,1
colonization and range expansion,ecological,1
distribution shift,ecological,1
impact on distribution,ecological,2
representation in protected areas,ecological,1
hybridization risk,biological,1
climatic barrier,ecological,1
functional dissimilarity in all land-uses,ecological,1
impact on trait diversity,ecological,1
contribution to ecosystem functions,ecological,1
impact on ecological complexity,ecological,1
contribution to biodiversity,ecological,2
comparison of FVNs structure,ecological,1
expansion influenced by,ecological,3
invasion_pattern,ecological,1
spread through trade,anthropogenic,1
impact of environmental change,ecological,1
host-pathogen overlap,biological,1
niche shift tendency,ecological,1
competition under global warming scenarios,ecological,1
species distribution and dispersal,ecological,1
combined impact on native species,ecological,1
habitat preservation,ecological,1
biological homogenization,ecological,1
distribution influence,anthropogenic,2
dietary relationship,biological,1
buffering of eutrophication,ecological,1
climate change impact and migration,ecological,1
common garden experiments,ecological,1
interaction between invasive plant and managed pollinator,ecological,1
attraction of pollinators,ecological,1
potential introduction pathways,geopolitical,1
range size comparison,ecological,1
sperm performance relation,physiological,2
increased invasion risk,ecological,1
potential alien range shift,ecological,1
invasion disharmony,ecological,1
relationship correlation,ecological,1
invasion risk increase,ecological,1
invasion risk decrease,ecological,1
spatial partitioning,ecological,1
habitat gradient,ecological,1
growth response to elevated O3,ecological,1
geographic occurrence,ecological,2
fragmentation impact,ecological,1
habitat suitability overlap,ecological,1
impact on habitat distribution,ecological,1
habitat loss and gain,ecological,1
contrasting establishment capacities,biological,1
species distribution model accuracy,ecological,1
spatial expansion,ecological,3
colonization influence,ecological,1
colonization influence,anthropogenic,1
introduction and distribution,ecological,3
functional/phylogenetic similarity,ecological,1
predictor relationship,ecological,1
resistance predictor relationship,ecological,1
origin of transport,anthropogenic,1
species success,ecological/anthropogenic,1
impact on plant diversity,ecological,1
novelty and growth rates influence,ecological,1
influence on plant performance,ecological,1
soil feedback,ecological,2
development dependence,biological,1
introduction bias,anthropogenic,1
overrepresentation,ecological,2
density dependence and spatial heterogeneity,ecological,1
scale transition,ecological,1
invasion success and mate-location,ecological,1
attraction via pheromonal cues,biological,1
presence beyond native conditions,ecological,1
limited distribution,ecological,1
arrival and impact,ecological,1
negative correlation in abundance,ecological,1
affects activity,ecological,2
performance_at_low_temperature,ecological,1
niche_overlap,ecological,1
influence_on_performance_and_life-history,ecological,1
inverse association,ecological,1
food chain impact,ecological,1
niche coexistence,ecological,1
dispersal challenge,physical,1
upstream dispersal facilitation,ecological,1
introduction and movement,ecological,1
spawning migration,biological,2
invasive species presence,ecological,3
maturation signal,biological,1
competitive coexistence with exceptions,ecological,1
species-location relation,ecological,1
energy and nutrient transfer,ecological,1
trophic niche segregation,ecological,1
climate change response,ecological,1
influx due to climate amelioration,ecological,1
streamflow impact,physical,1
promotion of persistence,ecological,1
influence_on_spread_rates,ecological,1
human-assisted_dispersal,anthropogenic,1
impact_of_topography,physical,1
morphology and establishment success,ecological,1
invasion strategy,ecological,1
environmental filtering and local competition,ecological,1
life history traits,biological,1
causal,ecological,2
causal,anthropogenic,1
invasion success impact,ecological,1
interaction impact on invasion,ecological,1
introduction and spread,biological,3
native-alien species richness relationship,ecological,1
predator-suppressor,ecological,1
protective-predator,ecological,1
production,anthropogenic,1
promotes naturalisation and invasiveness,ecological,1
biotic interaction and population dynamics,ecological,1
invasion impact on reptiles,ecological,1
impact of herbicide on reptiles,ecological,1
proximity advantage,ecological,1
removal of weeds,anthropogenic,1
increase in species,ecological,1
agricultural benefit,ecological,1
pathway for potential invasion,ecological,1
import-export pathway,anthropogenic,1
entry and establishment,ecological,1
Pest Risk Analysis,anthropogenic,1
impact on native species and ecosystem functions,ecological,1
interspecific association,ecological,1
aggressive interactions,biological,1
intra-specific aggression,biological,2
phenotypic heterogeneity impact,ecological,1
"frequent, wind-assisted immigration",biological,1
intermittent wind-assisted immigration,biological,1
human mediated movements,anthropogenic,1
thermotolerance adaptation,ecological,1
evolutionary adaptation,biological,1
source population and native habitat,ecological,1
invasion and genetic admixture,ecological/evolutionary,1
causal agent of chestnut blight,biological,1
decreases the virulence,biological,1
multiple introductions,ecological,2
provenance trial location,physical,1
hybridization and introgression,biological,1
distribution of Mytilus spp.,ecological,1
introduction and spread,ecological/anthropogenic,1
expansion and introduction,ecological,1
host-parasitoid interaction,biological,1
native population,biological,3
impact on native pollinators,ecological,1
introgression,genetic,2
escape and hybrid formation,ecological,1
genetic resistance,biological,1
gene expression and hardening,biological,1
gene suppression and hardening response,biological,1
secondary introduction,ecological,1
expansion facilitation,ecological,1
genetic exchange and admixture,biological,1
invasion front adaptation,ecological,1
reproductive adaptation,ecological,1
geographic differentiation,biological,1
multiple independent introductions,ecological,1
secondary contact and mating,biological,1
predation and eco-evolutionary feedback,ecological,1
local adaptation and gene flow,ecological/biological,1
host-microbiome relationship,biological/ecological,1
invasion origin and destination,anthropogenic,1
population structuring,biological,1
potential invasion of refuges,ecological,1
fire-driven adaptation,ecological,1
grass-fire cycle,ecological,1
genetic diversity impact,ecological,1
driver of genetic structure,ecological,1
ecotype divergence,biological,1
risk of use in aquaculture,ecological,1
risk assessment,anthropogenic,2
spawning,biological,1
vector for biological invasions,ecological,1
impact on NNS management,ecological,1
causation,biological,1
resilience and recovery,ecological,1
panmictic population,ecological,1
dispersal vector,biological,1
conflict with human use,anthropogenic,1
introgression and invasion,biological/ecological,1
comparative functional responses,ecological,1
prey selectivity,ecological,1
sympatric interaction,ecological,2
predation and trophic cascade,ecological,1
predation impact amplification,ecological,1
higher growth rate and activity,ecological,1
predation relationship,biological,1
impact on leaf litter breakdown,ecological,1
lateral connectivity,ecological,1
community changes due to restoration,ecological,1
filter-feeding effect,ecological,1
biomass distribution,ecological,1
filter-feeding intensity correlation,ecological,1
geographical occurrence,physical,2
ecological,ecological,1
habitat inhabitance,ecological,1
interaction with periphyton growth,ecological,1
comparison of periphyton density,ecological,1
spreading vector,anthropogenic,1
trophic ecology variation,ecological,1
land use impact,anthropogenic,1
replacement and extinction,ecological,1
threat,anthropogenic,1
increased primary productivity,ecological,1
inverse correlation with primary productivity,ecological,1
nitrogen sink,ecological,1
intraspecific competition,ecological,5
predator-prey dynamics,biological,2
climatic influence,ecological,1
decline in sedentary taxa,ecological,1
top-down control,ecological,1
amplification,ecological,1
invasion potential,anthropogenic,1
species incursion,biological,1
ecosystem process disruption,ecological,1
impact of crayfish density,ecological,1
trophic niche shift,ecological,1
introduction potential,ecological,3
hydrological impact,physical,1
niche formation,biological,1
niche expansion,biological,1
habitat influence,anthropogenic,1
growth environment,ecological,1
acclimation study,ecological,1
hotspot for future invasions,ecological,3
impact of climate change,biological,1
ecosystem association,ecological,1
interaction influence,ecological,1
interactions among nonnatives,ecological,1
positive interaction likelihood,ecological,1
trade accelerates plant invasions,anthropogenic,1
climate change impacts plant invasions,ecological,1
management priority,ecological,1
management success,anthropogenic,1
resource subsidies,ecological,1
establishment of invasive species,ecological,1
acceleration,ecological/physical,1
current range,ecological,1
higher nutrient concentrations,ecological,1
nutrient resorption efficiencies,biological,1
response to climate warming,ecological,1
adaptation to low oxygen conditions,ecological,1
impact on water flow,physical,1
association with habitats,ecological,1
habitat change and its effects,ecological,1
failed parasitism,ecological,1
interaction effects,anthropogenic,1
invasion opportunities,anthropogenic,1
defensive trade-off,ecological,1
trade-off with plant mass,ecological,1
impact on biodversity and ecosystem functions,ecological,2
dominance–diversity relationship,ecological,1
promotion_of_abundance_and_diversity,anthropogenic,1
increase_in_abundance_and_richness,anthropogenic,1
abundance_in_forest,ecological,1
environmental_filtering,ecological,1
effect on C storage,ecological,1
effect on C pools,ecological,1
introduction events,ecological,1
source regions,ecological,1
introduction pathways,biological,1
influence on nutrient capacity,ecological,1
predation and adaptive trait alteration,ecological,1
interaction with climate change and pollution,ecological,1
increasing human activity affecting introductions,anthropogenic,1
habitat-occupancy,ecological,1
species dispersal,ecological,2
distribution reshuffling,ecological,1
information gathering,anthropogenic,1
community-level warming,ecological,1
buffering effect,ecological,1
shift in precipitation-associated communities,ecological,1
promotion of biological invasion,ecological,1
ecological impact modulation,ecological,2
impact of human activities,anthropogenic,1
species presence and risk,ecological,1
biosecurity influence/impact,ecological,1
disruption of biodiversity-stability,ecological,1
biodiversity-stability relationship,ecological,1
predator-prey suppression,ecological,1
influence on species richness and diversity,ecological,1
impact on ecosystem functions,ecological,1
removal effect,anthropogenic,1
projected increase in alien species,ecological,5
strong projected increase,ecological,1
selective loss,ecological,1
ecological and phylogenetic threat,ecological,1
primary risk hotspots,ecological,1
enhancement of soil biodiversity,ecological,1
increase in soil fertility,ecological,1
recruitment decline,biological,1
susceptibility to establishment,ecological,1
conductance of woodland habitat,ecological,1
colonisation impeded by geographic barriers,ecological,1
breeds in,ecological,2
habitat gain,ecological,1
trait differentiation in resource gradients,biological/ecological,1
resource gradient effects on traits,ecological,1
range expansion and competition,ecological,1
diversity interaction,ecological,1
prevalence relationship,ecological,1
similarity relationship,ecological,1
compositional similarity,ecological,3
climate-adaptation,ecological,1
naturalized distribution,ecological,1
suitability for invasive species,ecological,1
vulnerability to climate change,ecological,1
vulnerability to land modification,anthropogenic,1
extinction risk,biological,1
species richness relation,ecological,2
impact on alien species richness,anthropogenic,1
density decrease with distance,ecological,1
high invasion,ecological,1
demographic shift,biological,1
naturalization risk increase,ecological,1
latitudinal variation in enemy release,ecological,1
species richness and geodiversity,ecological,1
facilitation relationship,anthropogenic,1
inhibitory effect on plant growth and species richness,ecological,1
modification of diversity patterns,anthropogenic,1
unimodal relationship,ecological,1
secondary spread dynamics,ecological,1
cultivation and naturalization,ecological,2
Competitive ability differences,ecological,1
Abundance mechanism similarity,biological,1
influence of human activity on invasion,anthropogenic,1
dispersal through hydrological network,ecological,1
dispersal by overland capacity,ecological,1
variation in foliar communities,ecological,1
latitudinal gradients,ecological,1
comparison of pathogen damage,ecological,1
enhanced growth and reproduction,ecological,1
performance decline,ecological,1
neutral or negative responses,ecological,1
inter-regional spread,ecological,6
mediation of naturalization and invasiveness,ecological,1
increased probability of naturalization and invasiveness,anthropogenic,1
habitat-prevalence relationship,ecological,1
habitat-lineage richness relationship,ecological,1
predation and competition avoidance,ecological,1
safeguarding,ecological,1
predation refuge,ecological,1
seed reduction,biological,2
dispersal of weed seeds,ecological,1
parasitism comparison,biological,1
incidence of parasitism,biological,1
host association,ecological,8
biological diversity,biological,1
absence of hybridization,biological,1
pollination,biological/ecological,1
correlated replacement,ecological,1
habitat occupation and facilitation,ecological,1
invasion and adaptation,ecological,8
seasonal migration,ecological,1
host-parasitoid,ecological,1
distribution or introduction,ecological,1
disjunct populations,ecological,1
historical reports,ecological,1
social organization,biological,1
biocontrol effects,ecological,1
invasion impact and management,anthropogenic,1
disease transmission,ecological,1
introduced_range,biological,1
seed mass and elevation relationship,ecological,1
successful invasion due to reproductive traits,ecological,1
effects on distribution and abundance,ecological,1
short-lived,biological/ecological,1
long-lived,biological/ecological,1
global distribution of medfly populations,ecological,1
invaded_range,ecological,2
factor,anthropogenic,1
habitat regeneration,ecological,1
fishery exploitation,economic,1
habitat restriction,ecological,3
range reduction,ecological,1
pheromone interaction,ecological,1
phenotypic variability due to environmental conditions,ecological,1
introduction driver,anthropogenic,1
production,economic,1
farming responsibility,economic,1
impact assessment,ecological,5
ecosystem modification,anthropogenic/ecological,1
restricted presence,ecological,2
comparative predation,ecological,1
floral visitation,ecological,4
floral visitation avoidance,ecological,1
niche overlap and partitioning,ecological,1
intra-guild predation,ecological,1
presence with low densities,ecological,1
displacement or exclusion,ecological,1
natural predation,biological,1
response to anthropogenic disturbance,ecological,1
species composition difference,ecological,1
invasiveness_comparison,ecological,1
growth_and_life_history_traits,biological,1
dispersal and movement,ecological,1
indicator of river health,ecological,1
indicator of disturbance,ecological,1
planktivory control,ecological,1
habitat-dependence of predation,ecological,1
elimination,ecological,2
size reduction and reproductive change,ecological,1
tolerance to suspended solids,ecological,1
comparative fitness,biological,1
habitat relation,ecological,1
community exchange,ecological,1
colonization and introduction,ecological,1
biodeposition,ecological,1
flux of organic matter,ecological,1
niche width comparison,ecological,1
impact of invader,ecological,1
dilution,ecological,1
inverse relationship with trout abundance,ecological,2
historical occurrence,ecological,1
introduction and dominance,ecological,1
decline in biodiversity,ecological,1
susceptibility to invasion,ecological,1
variation explanation,ecological,1
disease emergence and transmission,biological,1
alteration of disease incidence and severity,ecological,1
use of non-indigenous hosts by endemic parasites,biological,1
transport vector,physical,3
colonization and reproduction,ecological,1
coexistence without competition,biological,1
competition model,biological,1
fouling,ecological,8
degradation comparison,ecological,1
influence on organic matter degradation,ecological,1
predation/decrease in abundance,ecological,1
benthic resource dependence,ecological,1
interaction through aquaculture,ecological,1
increase in invasive species,ecological,1
dominance of acid-tolerant species,ecological,1
occurrence of competitive species,ecological,1
temperature effect,ecological,1
functional trait differences,biological,1
competitive and consumer–resource interactions,ecological,1
source-target relation,ecological,1
ecological habitat suitability,ecological,1
proximity to urban areas,ecological,1
association with land-use changes,ecological,1
slow decomposition,ecological,1
ecosystem conversion,ecological,1
carbon stock reduction,ecological,1
species_distribution_model,ecological,1
spread_model,ecological,1
responsibility_for_spread,ecological,1
comparative success,ecological,1
hypoxia mitigation,ecological,1
influence on phosphorus dynamics,ecological,1
invasion hotspot identification,ecological,1
impact on survival and activity,ecological,1
specific impact by invasive traits,ecological,2
range shift and maladaptation,ecological,1
habitat component,physical,1
invasion study,ecological,1
establishment influence,biological,1
climatic niche partitioning,ecological,1
abiotic stress gradient,physical,1
biomass stimulation,ecological,1
biomass inhibition,ecological,1
hydrological_dependency,ecological,1
successional_transition,biological,1
invasive_dominance,ecological,1
unsuitability,ecological,2
propagule movement,anthropogenic,1
species-habitat presence,ecological,1
dispersal interaction,ecological,1
dispersal to features,physical,1
introduction factor,anthropogenic,1
habitat co-occurrence,ecological,1
habitat affinity,ecological,2
management impacts,ecological,1
escape and management,ecological,1
impact on conservation efforts,ecological,1
impact on fitness,ecological,2
resource allocation and reproduction,ecological,1
growth rate distribution,ecological,1
habitat-conservation,ecological,1
biodiversity-conservation,ecological,1
species composition determinants,ecological,1
colonization and species richness response,ecological,1
colonization by non-native species,ecological,1
invasion_prone_hotspot,ecological,5
facilitation of establishment,ecological,1
risk of establishment,ecological,1
mite-host interaction,biological,1
influence on biocontrol effectiveness,ecological,1
predator-invader interaction,ecological,1
spread of crayfish plague,ecological,1
impact on establishment success,ecological,1
density-dependent impact,ecological,1
environmental correlation,ecological,1
wind-assisted migration,ecological,1
distribution prediction,ecological,2
distribution and management,ecological,1
impact_on_community_structure_and_ecosystem_functioning,ecological,1
propagule and colonization pressure,ecological,1
negative impact,ecological/economic,1
establishment relation,ecological,2
C gain relation,ecological,1
C loss relation,ecological,1
genetic diversity and reproductive success,ecological,1
nutrient enrichment and reproductive output,ecological,1
Allee effect and invasion,ecological,1
incursion and detection optimization,anthropogenic,1
facilitation of reproductive success,ecological,1
vector_role,anthropogenic,1
vector_role_comparison,anthropogenic,1
nestedness,ecological,1
introduction frequency,ecological,1
colonization and insular evolution,ecological,1
similarity among fossil mice,physical/ecological,1
differentiation,ecological,2
colonization and phylogeographic patterns,ecological,1
shared growth form,biological,1
dispersal_potential,ecological,1
human_mediated_dispersal,anthropogenic,1
comparative performance under light conditions,ecological,1
ancestry and extinction,ecological,1
ancestry and speciation,ecological,1
plant-soil microbe interaction,ecological,1
frugivory,ecological,2
contact zone,ecological,1
height-light trajectories,ecological,1
response to nitrogen,ecological,1
facilitates dispersal,physical,1
diversity correlation,ecological,1
seedling emergence comparison,biological,1
facilitative effect,ecological,2
escape from above-ground enemies,ecological,1
escape from below-ground enemies,ecological,1
potential decrease in seed germination due to pathogens,biological,1
diversity and invasion resistance,ecological,1
naturalization success comparison,ecological,1
comparative analysis,ecological,1
release from pathogens,ecological,1
community replacement,ecological,1
stronger filtering impact,ecological,1
growth and biomass allocation influence,ecological,1
performance stability,ecological,1
carbon capture strategy comparison,ecological,1
competition for pollinators,ecological,2
pollination network integration,biological,1
maternal carbohydrate subsidy,ecological,1
clonal integration,ecological,1
light response changes,ecological,1
biome shift,ecological,1
ecosystem service provision,ecological,2
species loss,ecological,3
nutrient acquisition,ecological,1
fungal biomass association,ecological,1
fitness response to temperature,biological,1
interaction between plant dispersal parameters and wind conditions,ecological,1
population differentiation,genetic,1
migration,anthropogenic,1
colonization and phylogeographic relationship,ecological,1
admixture and invasion,biological,1
temperature impact,physical/ecological,1
native pathogen-crop,biological,1
natural regulation,biological,1
biological impact,ecological,5
effect of leaf litter depth on seedling traits,ecological,1
correlation with population size and area,ecological/social,1
increased invasibility,ecological,1
future distribution expansion,ecological,1
spread and naturalization,ecological,1
herbicide sensitivity,biological,2
hatching from,biological,1
distributions and ecological traits,ecological,1
reproductive season differences,biological,1
introduction_location,ecological,1
dispersal_vector,anthropogenic,1
opposing trends,ecological,1
proportional representation,ecological,1
spread rate,ecological,1
invasion and alteration,ecological,1
study of altitudinal cline,ecological,1
admixture impact,ecological,1
establishment and dominance,ecological,1
morphological adjustment,ecological,2
dependence on light,ecological,1
seasonal phenology,ecological,1
host utilization,ecological,2
parasitoid-host,biological,2
new association,biological,2
invasion and economic impact,ecological/economic,1
initial detection,biological/physical,1
economic benefit from control,ecological/economic,1
oviposition and feeding preference,ecological,1
oviposition inhibition due to prior damage,ecological,1
threat of introduction,ecological,1
diet inclusion,ecological,1
ecological aggression,ecological,1
competition and environmental impact,ecological,1
introduction mechanism,anthropogenic,1
initial introduction to Europe,biological,1
development of alien species' propagules,ecological,1
response to organic contamination,ecological,1
reef formation,biological,1
introduction_pathway,anthropogenic,5
foraging and reproductive success,ecological,1
nesting sites,ecological,1
survival support,ecological,1
food resource replacement,ecological,1
hydrology alteration effects,ecological,1
control measures,anthropogenic,1
impact of fire on species,ecological,1
