Species Name,Role,Count
pelophylax ridibundus sensu lato,invasive,1
p. ridibundus,invasive,1
p. kurtmuelleri,invasive,1
p. c. f. bedriagae,invasive,1
p. bergeri,alien,1
p. lessonae,native,1
emerging invasive alien species,invasive,1
tinca tinca,introduced,1
austropotamobius italicus,introduced,1
two additional species from south pacific islands,introduced,1
spartina foliosa,native,1
spartina densiflora × foliosa,hybrid,1
hypophthalmichthys nobilis,invasive,6
asian carp,invasive,3
cecropia obtusifolia,invasive,1
macaranga mappa,invasive,1
melastoma septemnervium,invasive,1
siganus rivulatus,invasive,1
small coral reef fishes,native,1
exotic shrubs,introduced,1
c3 grasses,-,2
c4 grasses,-,2
podarcis carbonelli berlengensis,native,1
morus alba,exotic,1
casuarina sp.,exotic,1
exotic trees and shrubs,exotic,1
corvus moneduloides,native,1
red imported fire ants,introduced,1
eastern fence lizard,native,1
emerald ash borer (agrilus planipennis),invasive,1
white fringetree (chionanthus virginicus),native,1
latrodectus geometricus,alien/invasive,1
rhagoletis cingulata,introduced,1
rhagoletis cerasi,native,2
psyttalia rhagoleticola,-,1
utetes magnus,-,1
arhopalus rusticus,invasive,2
hippodamia variegata,introduced,2
spodoptera frugiperda,invasive,10
busseola fusca,native,1
sesamia calamistis,native,1
chilo partellus,introduced,1
creontiades dilutus,endemic,1
goodenia cycloptera,native,1
medicago sativa,native,1
melilotus indicus,native,1
agathis australis,native,1
phytophthora agathidicida,pathogen,1
ensifer,native,1
mesorhizobium,native,2
bradyrhizobium,native,1
flavobacterium,-,1
chitinophagaceae,-,1
rhodocyclaceae,-,1
sphingobacteriales,-,1
non-native tree species,introduced,1
acer pseudoplatanus,invasive,1
forest insects,native/invasive,1
pathogens,native/invasive,1
ceratocystis fagacearum,native,1
acacia subgenus phyllodineae,introduced,1
australian acacias,invasive,1
pinus ponderosa,introduced,3
poplar,naturalized,1
drosophila,native,1
spartina x townsendii,native,1
spartina x neyrautii,native,1
mycobacterium ulcerans,emerging pathogen,1
med,invasive,2
meam1,invasive,2
meam2,pseudogene artefact,1
io,invasive,1
aus,-,1
crassostrea gigas,native/introduced,1
crassostrea angulata,native/introduced,1
neotropical freshwater river rays,introduced,1
potamotrygoninae,introduced,1
heliotrygon,introduced,1
paratrygon,introduced,1
potamotrygon,introduced,1
boccardia proboscidea,introduced/invasive,1
polydora hoplura,native/introduced (proxy species),1
pseudodiaptomus inopinus,introduced,1
pseudodiaptomus forbesi,invasive,3
sinocalanus doerrii,invasive,1
limnoithona tetraspina,invasive,1
harmful species,introduced,1
codium fragile subsp. tomentosoides,introduced,1
neosiphonia harveyi,introduced,2
porphyra,introduced,1
green algae,introduced,1
brown algae,introduced,1
red algae,introduced,1
diadumene sp.,exotic,1
watersipora subtorquata,exotic,1
sea anemones,native,1
barnacles,native,2
tubiculous amphipods,native,1
hydroids,native,1
sponges,native,1
didymosphenia geminata,introduced,1
species_watch_list,potential threat,1
stenochrus portoricensis,invasive,1
gram-negative bacilli,invasive,1
non-typhi salmonellae,-,1
pacifastacus fortis,native,2
crayfish,native/introduced/alien/invasive,1
anastrepha fraterculus,native,1
ceratitis capitata,introduced,2
arachis hypogaea,native,1
sesbania roxburghii,native,1
cylas formicarius,invasive,1
euscepes batatae,invasive,1
ipomoea batatas,native,1
invasive alien species,invasive/alien,1
caridina africana,alien,1
helianthus annuus l.,invasive,1
china 2,native,1
china 3,native,1
china 4,native,1
asia i,native,1
asia ii 6,native,1
liriomyza huidobrensis,invasive,4
liriomyza sativae,invasive,4
saccharomyces cerevisiae,native,2
sminthopsis spp.,native,1
phascogale tapoatafa,native,1
isoodon obesulus,native,1
pseudocheirus occidentalis,native,1
bettongia penicillata,native,1
notamacropus irma,native,1
trichosurus vulpecula,native,2
notamacropus eugenii,native,1
aedes notoscriptus,native,1
lucilia eximia,native,1
knautia arvensis,invader,1
aldabrachelys gigantea,introduced,1
mimusops coriacea,exotic,1
lantana camara,exotic,1
veitchia merrillii,exotic,1
wikstroemia indica,exotic,1
rhamnus cathartica,introduced,1
allocasuarina huegeliana,native/invasive,1
gleditsia triacanthos,alien,3
pyracantha angustifolia,alien,1
wedelia trilobata,alien/invasive,1
wedelia chinensis,native,1
model invasive bird species,invasive,1
higher termites (termitidae),native,1
c. fluminalis,invasive,1
c. fluminea,invasive,1
c. leana,invasive,1
arca noae,native,1
crambe crambe,native,1
marthasterias glacialis,native,1
hexaplex trunculus,non-native,1
mytella charruana,introduced,2
crassostrea virginica,-,1
asian green mussel,introduced,1
south american charru mussel,introduced,1
murdannia nudiflora,-,1
myriophyllum aquaticum,-,1
polygonum barbatum,-,1
colocasia esculenta,invasive,1
arion subfuscus,introduced,1
philomycus carolinianus,native,1
megapallifera mutabilis,native,1
eucalyptus grandis,native,1
cercopagis pengoi,non-indigenous,1
pleopis spp.,native,1
eurytemora affinis,native,1
bosmina spp.,native,1
mollusks,native,2
dreissena polymorpha,native,3
microcystis aeruginosa,alien,1
planktothrix agardhii,alien,1
anchovy,native,1
daphnia exilis,exotic,2
mesozooplankton,-,1
polychaete,-,1
gelatinous predators,-,1
mertensia ovum,native,1
blackfordia virginica,native/introduced/alien/invasive,1
metazooplankton,native,1
ciliates,native,2
detritus,native,1
daphnia lumholtzi,invasive,3
norway maple,invasive,1
khaya senegalensis,introduced,1
eucalyptus tetrodonta,native,1
corymbia latifolia,native,1
subtropical native tree seedlings,native,1
exotic grasses,exotic,2
corbicula clams,native/invasive,1
skiffia bilineata,native,1
viviparous goodeids,native,1
anolis sagrei,introduced,2
leon springs pupfish,native,1
pecos gambusia,native,1
eleutherodactylus coqui,introduced,3
hypsiboas albomarginatus,native,1
weedy species,introduced,1
indigenous vascular plant species,native,1
naturalized alien vascular plant species,alien,1
largemouth bass (micropterus salmoides),invasive,2
cape kurper (sandelia capensis),native,1
sharptooth catfish (clarias gariepinus),emerging invader,1
river goby (glossogobius callidus),native,1
tadpoles (hyperolius marmoratus),-,1
turtle species,-,1
ant species,introduced,1
tropical fish larvae,introduced,1
butterflyfishes,introduced,1
zanclus cornutus,introduced,1
minute wasps,introduced,1
centris nigerrima,-,1
bees,-,1
hummingbirds,-,1
hawkmoths,-,1
erythranthe lutea,native,1
gammarid,alien,1
species,introduced,1
candidatus phytoplasma aurantifolia,invasive,1
hishimonus phycitis,invasive,1
amatitlania nigrofasciata,non-native,1
oreochromis sp.,non-native,1
pelmatolapia mariae,non-native,1
o. mossambicus,non-native,1
o. niloticus,non-native,1
introduced predators,introduced,1
rodent prey,native,1
m. m. domesticus,introduced,1
m. m. castaneus,introduced,1
m. m. musculus,introduced,1
pumpkinseed (lepomis gibbosus),invasive,1
topmouth gudgeon (pseudorasbora parva),invasive,1
pterygote insects,introduced,1
apis cerana,native,2
cottus sp,invasive,1
american water flea clone,invasive,1
native sibling species,native,1
manila clam,introduced,1
eurasian oystercatcher,native,1
bonnemaisonia hamifera,introduced,2
dasysiphonia sp.,introduced,1
womersleyella setacea,introduced,3
marine macrophytes,introduced,1
hieracium lepidulum,exotic,1
cane toads (bufo marinus),invasive,1
juglans regia,non-native/invasive,1
corvus frugilegus,-,1
diatoms,introduced,3
dinoflagellates,introduced,3
rubus niveus,alien,1
lava lizards,-,1
small ground finch,-,1
mockingbirds,-,1
giant tortoise,-,1
tribolium castaneum,reference,1
gram-negative bacteria,-,1
entomopathogenic fungi,-,2
dipterans,alien,1
hymenopterans,alien,1
lepidopterans,alien,1
tropical tephritid fruit fly,alien,1
mexican fruit fly,invasive,1
oriental fruit fly,invasive,1
peach fruit fly,introduced,1
guava fruit fly,introduced,1
melon fruit fly,introduced,1
freshwater invertebrates and fishes,introduced,1
marine invertebrates and fishes,introduced,1
tomato yellow leaf curl virus (tylcv-mld),introduced,1
tomato yellow leaf curl virus (tylcv-il),introduced,1
vibrio spp.,native,1
podarcis muralis,non-native,2
bitterling fishes,native,1
unionid mussels,native,2
mimulus guttatus,native,1
tick-borne pathogens,introduced,1
ralstonia solanacearum,invasive,3
sargassum vestitum,native,1
caulerpa filiformis,native invader,1
mnemiopsis leidyi,non-native,1
planktonic organisms,-,1
plant seeds,-,1
endemic plant species,native,1
non-endemic plant species,-,1
house mice,invasive,2
rhododendrons,introduced,1
senecio squalidus,introduced,2
alces alces,native,1
odocoileus virginianus,introduced,1
exotic earthworms,alien,2
freshwater crayfish,-,1
parastacidae,-,1
astacidae,-,1
gremmeniella abietina,invasive,1
pseudogymnoascus destructans,invasive,1
martes martes,-,1
lutra lutra,-,1
canis dingo,-,1
sarcophilus harrisii,-,1
cervus canadensis nannodes,-,1
tunicates,invasive,2
ciona robusta,non-native,2
clavelina lepadiformis,non-native,1
microcosmus squamiger,non-native,1
styela plicata,non-native,1
pinus mugo,exotic,1
ephedra alte,invasive,1
amygdalus communis,native,1
citrus aurantifolia,native,1
ficus carica,native,1
olea europaea,native,2
opuntia ficus-indica,native,3
punica granatum,native,1
acacia cyanophylla,native,1
crataegus azarolus,native,1
cupressus sempervirens,native,2
pinus halepensis,native,1
pistacia atlantica,native,1
pistacia palaestina,native,1
quercus coccifera,native,1
quercus infectoria,native,1
retama raetam,native,1
rhamnus palaestina,native,1
rhus tripartita,native,1
zizyphus spina-christi,native,1
ailanthus altissima,native,1
hedera helix,native,2
jasminum fruticans,native,1
jasminum grandiflorum,native,1
nerium oleander,native,1
pyracantha coccinea,native,1
non-native vascular plants,introduced,1
caryophyllaceae,introduced,1
juncaceae,introduced,1
sesbania rostrata,native,2
azorhizobium caulinodans,native,1
aix galericulata,non-native,1
social insects,invasive,2
solitary species,native,1
most invasive ants,invasive,1
some termites,invasive,1
mycorrhizal fungi,native/introduced,1
bioassay herbivores,native,1
lilium formosanum,invasive,1
platymantis vitiana,endemic,1
saccostomus mearnsi,native,1
large wildlife,-,1
rhododendron ponticum l.,invasive,1
apis mellifera l.,native,1
"andrena carantonica, pérez",native,1
"bombus terrestris, l.",native,1
polygonum cuspidatum,introduced/invasive,1
sessile invasive marine invertebrates,invasive,1
sessile native marine invertebrates,native,1
palaemon elegans,alien,1
threespine stickleback,native,1
filamentous algae,native,1
insect herbivores,natural enemy,1
soil biota,natural enemy,1
saccostrea glomerata,-,1
ascidia ceratodes,native,2
sessile species,-,1
mysis salemaai,native,1
crithidia bombi,associated with invasive host,1
seed-specialized wasps (hymenoptera: torymidae),invasive,1
resident seed-specialized wasps,native,1
coccinellid,invasive alien,1
coccinellid,native,1
native crab,native,1
callosobruchus seed beetles,introduced,1
soil micro-organisms,-,1
soil invertebrates,-,1
anecic earthworms,invasive,2
endogeic earthworms,invasive,2
north american grey squirrel,invasive,1
leuciscus idus,alien,1
squalius cephalus,native,3
sciurus carolinensis,alien,1
generalist bird species,native,1
generalist plant species,native,1
specialist species,native,1
tapinoma magnum,alien,1
carassius carassius,native,2
spodoptera exempta,native,1
metarhizium rileyi,native,1
wolbachia,native,2
spodoptera frugiperda npv,native,1
spodoptera exempta npv,native,1
late-seral plant species,native,1
early-seral weed species,native,1
grassland species,native,1
zooplankton,non-native,3
aquatic animal species,native/invasive,1
rubus idaeus,native,2
scolytinae,native/introduced,1
cerambycidae,native/introduced,1
buprestidae,native/introduced,1
alien wood-boring beetles,alien,1
european insect species,native,1
"bark and wood borers, defoliators",native,1
microplankton,introduced,1
macroplankton,introduced,1
enterococci,introduced,1
escherichia coli,introduced,1
coliform bacteria,introduced,1
red fox,invasive,4
terrestrial arthropods,alien,3
invasive predator,invasive,1
invasive prey,invasive,1
endemic prey,native,1
ziziphus mauritiana,invasive,1
dichanthium sericeum,native,1
annual grasses,native/introduced,1
forbs,native/introduced,1
zooplankton,indigenous,1
non-indigenous coastal species,non-indigenous,1
14 plant species,invasive,1
yellow-legged hornet,invasive,1
native entomofauna,native,1
alien ranaviruses,introduced,1
alien amphibians,introduced,1
algae,alien,3
micro-organisms,alien,1
pheretima aspergillum,invasive,1
themeda trianda,native,1
bare-nosed wombats,native,1
sarcoptes scabiei,invasive,1
kangaroo,native,1
rabbit,introduced,1
sheep,introduced,2
brown treesnake,invasive,3
micronesian starling,native,1
exotic flies,introduced,1
brassica rapa,native,4
macropus spp.,native,1
woody species,-,4
ornamental alien species,alien,1
calla palustris,introduced,1
comarum palustre,introduced,1
menyanthes trifoliata,introduced,1
clonal dominants,introduced,1
clonal stress-tolerators,introduced,1
interstitials,introduced,1
greater bilby (macrotis lagotis),native,1
feral cats (felis catus),introduced,1
longhorn beetle,native,1
monochamus galloprovincialis,native,2
insectivorous birds,native,1
large mammalian herbivores,native,1
non-indigenous species (nis),alien,1
alewife (alosa pseudoharengus),non-native,1
mollusca,introduced,4
rotifera,introduced,1
oligohymenophorea,introduced,1
copepoda,introduced,1
rhynchocypris percnurus sachalinensis,native,1
rhodeus ocellatus ocellatus,invasive,1
rhdv2,introduced,1
rhdv-k5,introduced,1
rcv-a1,native,1
plant communities,native,1
water vole,native,1
field vole,native,1
red deer,native,1
epifaunal bivalves,-,1
infaunal bivalves,-,1
sulphide-metabolizing bivalves,native,1
east african cassava mosaic virus-uganda strain (eacmv-ug),invasive,1
endemic pathogen strain,native,1
noisy miner,native,2
trichoglossus moluccanus,native,1
native sagebrush,native,1
stercorarius antarcticus lonnbergi,native,1
corbicula largillierti,invasive,1
phyllostachys bambusoides,invasive,1
pinus,non-native/naturalised,1
sonchus oleraceus,invasive,1
herbivorous arthropods,native,1
aldabra giant tortoise,introduced,1
invasive herb,invasive,1
endemic palm,native,1
turf algae,invasive,1
senecio inaequidens,alien,1
corbicula fluminea,alien,1
tristan albatross (diomedea dabbenena),native,1
house mouse (mus musculus),invasive,2
multicellular neobiota,alien,1
perennial plants,alien,1
european plant species,introduced,2
fallopia japonica,native/introduced,1
exotic invasive species,invasive,4
oecophylla smaragdina,native,3
range-expanding plant species,introduced,3
congeneric natives,native,1
australian acacia species,introduced,2
linaria vulgaris,invasive,4
leucanthemum vulgare,invasive,3
woody invaders,invasive,2
herbaceous invaders,invasive,1
ungulates,invasive,1
melicytus ramiflorus,native,1
understorey species,-,1
lophozonia menziesii,native,1
trichosurus vulpecula,introduced,4
rhizopogon,associated,1
suillus,associated,1
amanita muscaria,invasive,1
seed predator,-,1
plant species,introduced/invasive,1
woody ornamentals,introduced,1
acanthaceae,introduced,1
apocynaceae,introduced,1
bignoniaceae,introduced,1
solitary bee species,native,1
alien invaders,invasive,1
ammonia-oxidizing bacteria,native,1
four exotic species,invasive,1
bacterial epibionts,native,1
nothofagus spp.,native,2
piloderma sphaerosporum,-,1
exotic tree species,exotic,1
native european tree species,native,1
urban grassland plant species,native/invasive,1
trifolium,naturalized,1
soil microbes,native,2
alien herbs,alien,1
graminoids,invasive,1
stipa pulchra,native,1
herbaceous plants,-,1
juglans regia,alien,2
corvus frugilegus,native,1
garrulus glandarius,native,2
verbascum thapsus,invasive,3
pest species,introduced,1
non-pest species,introduced,1
ornamental plant species,non-native,1
native tussock grasses,native,1
exotic forbs,introduced,1
aquatic vegetation,native,1
chelonia mydas (green turtle),native,1
native grassland herbs,native,1
herbaceous alien species,alien,1
silene latifolia,native/invasive,1
acacia,alien,1
native forest trees,native,1
zostera muelleri,native,1
tall fescue,invasive,1
exotic legume species,exotic,1
native legume species,native,1
populus balsamifera,native,1
naturalized plant species,introduced,1
plant species,non-native,1
woody invasives,invasive,1
ruderal species,invasive,1
rumex crispus,invasive,1
rumex obtusifolius,invasive,1
rumex conglomeratus,alien,1
understorey plant species,-,1
bromus tectorum,introduced,1
grassland plant species,introduced,1
alien target species,alien,1
soil mesofauna,-,1
centaurea,non-native/native,1
epilobium,non-native/native,1
salix,non-native/native,1
acer,non-native/native,1
barbarea,non-native/native,1
campanula,non-native/native,1
depressaria radiella,invasive,1
heracleum maximum,native,1
heracleum sphondylium,native,1
copidosoma sosares,introduced,1
porcelio scaber,introduced,1
mirid bugs,native,1
gleditsia triacanthos,exotic invasive,1
acacia aroma,native,1
alpha-rhizobia,-,1
beta-rhizobia,-,1
burkholderia phymatum,-,1
b. tuberum,-,1
cupriavidus taiwanensis,-,1
verticillium dahliae,invasive,1
xanthomonas citri pv. citri,invasive,1
vibrio sp.,native/associated,1
ruminococcacae,-,1
christensenellaceae,-,1
lachnospiraceae,-,1
asian ladybird,invasive,1
pseudomonas putida,model invader,1
8 ant species,native,1
microsporidia,-,1
limatus durhamii,native,1
cardiocondyla itsukii,invasive,1
south american tomato pinworm,invasive,1
c. erythraeus,introduced,1
pallas's squirrels,introduced,1
tropical house gecko (hemidactylus mabouia),introduced,1
barbados leaf-toed gecko (phyllodactylus pulcher),native,1
dromiciops gliroides,native,1
myriophyllum,invasive,1
ludwigia,invasive,1
cabomba,invasive,1
hydrocharitaceae,invasive,1
mozambique tilapia (oreochromis mossambicus),invasive,1
anastrepha,invasive,1
bactrocera,invasive,1
carpomya,invasive,1
dacus,invasive,1
rhagoletis,invasive,1
didemnum perlucidum,non-indigenous,1
didemnum vexillum,non-indigenous,1
potentially invasive plant species,potentially invasive,1
plant species native to china,native,1
ips duplicatus,invasive,1
bark beetles,-,1
crithidia bombi,associated with invasive species,1
apicystis bombi,associated with invasive species,1
nosema bombi,detected with invasive species,1
invasive alien invertebrates,invasive,1
avena sterilis,invasive,1
linaria dalmatica,invasive,5
mecinus janthinus,introduced,2
mecinus janthiniformis,introduced,1
rana iberica,native,1
salamandra salamandra,native,1
exotic predatory fish,introduced,1
terrestrial vertebrates,native/introduced/alien,1
lepus europaeus,native,1
litoria tornieri,native,1
litoria dahlii,native,1
scincid lizards,native,1
agamid lizards,native,2
varanid lizards,native,2
elapid snakes,native,1
colubrid snakes,native,1
pythonid snakes,native,1
native amphibian species,native,1
species at risk from extinction,-,1
terrestrial species,-,1
at-risk species,native,1
exotic rat,invasive,1
several sensitive species,native,1
gleditsia triacanthos,introduced,1
native rodents,native,1
senecio,native/introduced,1
puffinus pacificus,native,1
rattus rattus,introduced/alien/invasive,1
procellariiforms,-,1
native plant species,-,1
exotic plant species,-,1
native forbs,-,1
exotic forbs,-,1
native grasses,-,1
gramminoids,-,1
non-native woody species,introduced,1
species 1 (invasive),invasive,1
species 2 (invasive),invasive,1
species 3 (native),native,1
microcystis spp.,native,2
alien plants,introduced,1
25 plant species,alien,1
melaleuca quinquenervia,native,1
leptospermum laevigatum,native,1
baeckea linifolia,native,1
dingo,native,3
red fox,non-native,1
sambar deer,invading non-native,1
cotoneaster franchetii,invasive alien,1
turdus chiguanco,native,1
hypochaeris radicata,introduced,1
cherry guava,introduced,1
myrtaceae,-,1
pinus contorta,non-native/invasive,1
ovis aries,native,2
cotoneaster glaucophyllus,invasive,1
melia azedarach,invasive,2
native lizard species,native,1
callistemon citrinus,native,1
eucalyptus moluccana,native,1
eucalyptus dalrympleana,native,1
angophora costata,native,1
australian myrtaceae species,native,1
cerastium fontanum,invasive,1
copepoda,native/introduced/alien/invasive,1
cladocera,native/introduced/alien/invasive,1
scirtothrips aurantii,introduced,1
bryophyllum,-,1
ctenarytaina eucalypti,key pest,1
eucalyptus globulus,native,1
braunsapis puangensis,introduced,3
engytatus passionarius sp. nov.,native,1
passiflora (dysosmia) foetida l.,native/invasive,1
anastrepha fraterculus,native/introduced/alien/invasive,1
ceratitis capitata,native/introduced/alien/invasive,1
cacao pod borer,-,1
dermaptera,native,1
hemiptera,native,2
orthoptera,native,1
opiliones,native,1
araneae,native,1
naturalized species,naturalized,1
invasive forb,invasive,1
asclepias syriaca,invasive,4
ruderal species,alien,1
sparganium erectum,native,1
xanthium orientale,alien,2
oenothera oakesiana,alien,1
native parasitic plants,native,1
root hemiparasites,native,1
mistletoes,native,1
parasitic vines,native,1
bothriochloa barbinodis,invasive,1
recipient communities,native,1
native wetland plants,native,1
native upland plants,native,1
jacobaea aquatica,invasive,2
pelophylax ridibundus,introduced,1
pelophylax bergeri,introduced,1
herpestes ichneumon,introduced,1
calliphora vicina,invasive,1
native prey species,native,1
alien predators,alien,1
austropotamobius italicus,non-native,1
echinoderms,-,1
pathogens,alien,2
plant pathogens,invasive,1
cultivated alien species,alien,1
subterranean alien species,alien,1
arachnids,alien,1
mimusops andongensis,-,1
bellucia pentamera,invasive,2
red crabs,-,1
christmas island thrush,-,1
christmas island flying-fox,native,1
sus scrofa,non-native,1
melastoma spp.,native,1
litoria rheocola,native,1
aldabran giant tortoise,introduced,1
madagascan radiated tortoise,introduced,1
mauritian giant tortoise,native (extinct),1
locustella pryeri,non-native,1
crassostrea gigas,naturalized,1
asian carp (hypophthalmichthys spp.),nonindigenous,1
naturalized plant species,naturalized,1
red-listed threatened species,native,1
acanthaster sp.,invasive,1
livebearing fish (poecilia),-,1
canis lupus,reintroduced,1
canis dingo,reintroduced,1
sea lamprey,invasive,4
migratory fishes,native,1
lake sturgeon,native,1
anopheles sp.,native,1
bombus terrestris,commonly traded/invasive,1
parrots (psittaciformes),invasive,1
invasive alien grasses,invasive,1
nonnative bird,introduced,1
nonnative marine species,non-native,1
nonnative marine animals,non-native,1
asian green mussel,invasive,1
little fire ant,invasive,1
brown rat,invasive,1
mesquite tree,invasive,1
weed species,non-native,1
bonamia ostreae,protozoan parasite,1
coccinellid beetles,native/introduced,1
alien coccinellid species,alien,1
neofusicoccum parvum,introduced,1
neofusicoccum kwambonambiense,introduced,1
neofusicoccum occulatum,introduced,1
neofusicoccum umdonicola,introduced,1
neofusicoccum cordaticola,introduced,1
neofusicoccum batangarum,introduced,1
neofusicoccum ribis,introduced,1
orobanche ramosa,invasive,2
non-indigenous invertebrates,introduced,1
damaging non-indigenous forest insect and pathogen species,non-native,1
phascolarctos cinereus,native,1
plankton,native,1
exotic amphibians,introduced,1
native australian species,native,1
chrysanthemoides monilifera,alien/invasive,1
bitou bush,invasive,1
boneseed,invasive,1
nosema apis,native,1
calotropis gigantea,invasive,2
ornamental plants,introduced,1
terrestrial plants,invasive,3
non-native reptiles,introduced,1
introduced reptiles,introduced,1
non-native seaweeds,introduced,1
resident primary producer communities,native,1
consumers,native,1
resident macroalgal communities,native,1
brown-headed cowbird,native invader,1
forest insectivorous hosts,hosts,1
rattus rattus species complex,invasive,1
r. norvegicus,invasive,1
helminth parasites,invasive,1
ascidians,ecosystem engineer,1
salix fragilis,invasive,1
ectomycorrhizal fungi,introduced,1
predatory fishes,native,1
micropredators,native,1
kamchatka red king crab,introduced,1
aquatic alien species,alien,2
alien invertebrates,alien,3
halotydeus destructor,invasive,1
geese,native,1
swans,native,1
shorebirds,native,3
herons,native,1
deer,native/introduced,1
black-tailed deer,introduced,1
invasive macroalgae,invasive,1
hummingbird species,native,1
short-billed hummingbirds,native,1
long-billed hummingbirds,native,1
woodland bird species,native,1
-,native/alien,1
bird species,alien,1
psittaciform species,alien,1
endemic fish species,native,2
thaumetopoea pityocampa,native/introduced/alien/invasive,1
summer population (sp),introduced,1
narrow endemic species,native,1
ring-necked parakeet,non-native,1
monk parakeet,non-native,1
burmese pythons,invasive,1
native mammals,native,3
waterbirds,native,1
prunus serotina ehrh.,non-native/invasive,1
crop wild relatives,native,1
alien garden plants,alien,1
european congeners,native,1
globally invasive species,invasive,1
insect and plant species,introduced,1
ground-dwelling arthropods,-,1
indigenous arthropod species,native,1
exotic arthropod species,exotic,1
large-bodied herbivores,exotic,1
small-bodied spiders,exotic,1
piercing and cutting herbivores,native,1
rubus cuneifolius,invasive,3
rubus caesius,native,1
new invaders,invasive,1
resident alien species,alien,1
sugar glider (petaurus breviceps),introduced,1
arion ater,introduced,1
arion rufus,introduced,1
arion vulgaris,introduced,1
batrachochytrium salamandrivorans,native,1
batrachochytrium salamandrivorans,invasive,1
56 putative western palaearctic host species,native,1
freshwater invertebrates,invasive,1
pontogammarus maeoticus,introduced,1
callosciurus finlaysonii,invasive,1
exotic fish species,exotic,2
sargassum muticum,non-indigenous,2
cytisus scoparius,alien,1
abies recurvata,native,1
abies faxoniana,native,1
abies squamata,native,1
abies ernestii,native,1
abies forrestii,native,1
abies georgei,native,1
mediterranean amphibians,native,1
honeybees,introduced,3
asterias amurensis,potentially invasive,1
hull fouling marine invasive species (mis),potentially invasive,1
european vascular plants,native/introduced,1
beetle (coleoptera),native/introduced,1
dermestidae,introduced,1
bostrichidae,introduced,1
carabidae,introduced,1
scarabaeidae,introduced,1
buprestidae,introduced,2
amandava amandava,invasive,1
estrilda astrild,invasive,1
bird,alien,1
invasive herbaceous,invasive,1
bipalium adventitium,alien,1
bipalium pennsylvanicum,alien,1
land planarians,introduced,1
hammerhead flatworms,introduced,1
bivalvia,invasive,2
dreissenidae,invasive,1
cyrenidae (corbiculidae),invasive,1
pasture grasses,invasive,1
small insectivorous species,native,1
nothofagus,native,1
conifers (pinaceae),invasive,1
vertebrate species,introduced,1
riparian plant species,introduced,1
riparian plant species,native,1
native herbaceous species,native,1
alien herbaceous species,alien,1
alien perennials,alien,1
alien annuals,alien,1
lophocolea semiteres,invasive,1
bluetongue virus,invasive,1
dendroctonus,introduced,1
d. valens,invasive,1
magnoliophyta,alien,1
alien species,introduced/alien,1
chagas disease vectors,invasive,1
centaurea solstitialis,native/introduced/invasive,1
bromus hordeaceus,native,1
duttaphrynus melanostictus,alien,1
genus pinus,native,1
pinaceae,native,1
italian agile frog,native,1
freshwater fishes,nonnative,2
various plants,alien,1
plants from australasia,alien,1
free-standing woody species,alien,1
native island plant species,native,1
digitonthophagus gazella,introduced,1
piezodorus guildinii,invasive,1
nezara viridula,invasive,2
murgantia histrionica,invasive,1
egg parasitoids,native,1
adult stink bug parasitoids,native,1
tetraponera aethiops,native,1
barteria fistulosa,native,1
lianas,native,1
endemic ant species,endemic,1
introduced ant species,introduced,1
hippodamia variegata,invasive,1
eriopis chilensis,native,1
hylurgus ligniperda,non-native,1
hylastes ater,non-native,1
flannelmouth sucker (catostomus latipinnis),native,1
bluehead sucker (c. discobolus),native,1
roundtail chub (gila robusta),native,1
salvelinus namaycush,introduced,1
brown trout,exotic,2
sculpin,native,1
cutthroat trout,native,1
rhinogobius cliffordpopei,invasive,1
rhinogobius giurinus,invasive,1
"rainbow trout, oncorhynchus mykiss",alien,1
"european perch, perca fluviatilis",alien,1
"macquarie perch, macquaria australasica",native,1
chironomid larvae,-,3
cottus gobio,invasive,1
salmo salar,restocked,1
stone loaches,native,1
barbel juveniles,native,1
oncorhynchus gorbuscha,invasive,1
whitefish,native,1
coregonus lavaretus,native,4
vendace,invasive,1
coregonus albula,invasive,1
phytophthora spp.,exotic/introduced,1
phytophthora species/taxa,exotic/introduced,1
soil invertebrate communities,-,1
non-native competitive species,non-native,1
stream salamanders,native,1
reptile,alien,2
amphibian,alien,3
non-indigenous fishes,introduced,1
indo-pacific tropical fishes,invasive,1
tyria jacobaeae,-,1
plant taxa,native/introduced/alien/invasive,1
phylogenetically diverse bacterial species,invasive,1
trichogramma chilonis,introduced,1
grassland plant species,non-resident,1
plant,native/alien,1
tasmanian devil,native,1
bandicoot,native,1
biocontrol beetle,introduced,1
bitou bush (chrysanthemoides monilifera ssp. rotundata),invasive,1
native reptile assemblages,native,1
lagorchestes hirsutus,native,1
lagostrophus fasciatus,native,1
red imported fire ant (solenopsis invicta buren),invasive,1
gorse (ulex europaeus l.),introduced,1
tasmanian pademelon (thylogale billardieri),native,1
native reptiles,native,1
non-native plant species,alien,1
aquatic weeds,invasive,2
episyrphus balteatus,native,1
ceratina dentipes,introduced,1
xylocopa sonorina,introduced,1
amegilla pulchra,introduced,1
megachilidae species,introduced,1
halictid bee (unidentified),unknown,1
hylaeus (p.) tuamotuensis,unknown,1
pistia stratiotes,invasive,3
terrestrial ornamental plants,introduced,1
lissorhoptrus oryzophilus,introduced,1
eurycea nana,native,1
micropterus salmoides,native,2
lepomis auritus,introduced,1
gambusia geiseri,native,1
lepomis cyanellus,native,1
herichthys cyanoguttatum,introduced,1
lampropholis delicata,invasive,2
